"","X","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"111",372,"NsiI.TP766057","Sobic.007G183900","CmD_LI_mm.15",7,61710211,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(C124+2560(1))","","CmD_LI_mm(FarmCPU(1))","","","",0.1048,0.3222,2,"Chr07",61707868,61716228,8361,"-",-2343,-6017,37936055,"Sobic.007G183900","Sobic.007G183900.2","Sobic.007G183900.2.p","PF00240","PTHR15204,PTHR15204:SF1","KOG0001,KOG0005","","","GO:0005515","AT5G42220.1","","Ubiquitin-like superfamily protein","LOC_Os07g31540.1",NA,"ubiquitin family protein, putative, expressed"
"112",374,"NsiI.TP769756","Sobic.001G119800","CmD_LI_mm.16",1,9322002,"CmD_LI_mm","CmD_LI_mm(PS_Y(1))","CmD_LI_mm(C116+3293(1))","","","CmD_LI_mm(FASTmrEMMA(1))","","",0.0129,10.83,2,"Chr01",9317229,9322526,5298,"+",-4773,-524,37938651,"Sobic.001G119800","Sobic.001G119800.2","Sobic.001G119800.2.p","PF04576","PTHR31448,PTHR31448:SF11","","","","","AT5G16720.1","","Protein of unknown function, DUF593","LOC_Os03g15410.1",NA,"expressed protein"
"113",378,"NsiI.TP779177","Sobic.004G298300","CmN.75",4,63763133,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(ISIS EM-BLASSO(1))","","",0.2944,2.344,2,"Chr04",63763373,63767729,4357,"+",240,-4596,37930776,"Sobic.004G298300","Sobic.004G298300.2","Sobic.004G298300.2.p","PF04727","PTHR12771,PTHR12771:SF20","KOG2998","","","","AT2G44770.1","","ELMO/CED-12 family protein","LOC_Os02g43590.1",NA,"ELMO/CED-12 family protein, putative, expressed"
"114",379,"NsiI.TP779177","Sobic.004G298250","CmN.75",4,63763133,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(ISIS EM-BLASSO(1))","","",0.2944,2.344,1,"Chr04",63761872,63762755,884,"+",-1261,378,37932419,"Sobic.004G298250","Sobic.004G298250.1","Sobic.004G298250.1.p","","","","","","","","","","",NA,""
"115",393,"NsiI.TP832364","Sobic.001G492800","CmD_LI_mm.18",1,76203935,"CmD_LI_mm","CmD_LI_mm(PS_Y(1))","CmD_LI_mm(C106+4202(1))","","","CmD_LI_mm(pKWmEB(1))","","",0.0943,0,1,"Chr01",76202998,76206852,3855,"-",-937,-2917,37943469,"Sobic.001G492800","Sobic.001G492800.1","Sobic.001G492800.1.p","PF04788","PTHR31300,PTHR31300:SF3","","","","","AT5G06610.1","","Protein of unknown function (DUF620)","LOC_Os03g07120.1",NA,"expressed protein"
"116",395,"NsiI.TP89701","Sobic.004G290600","CmDW_g.19",4,63161916,"CmDW_g","CmDW_g(PS_N(2))","CmDW_g(124+36088im(2))","","CmDW_g(FarmCPU(1))","CmDW_g(FASTmrMLM(1))","","",0.313,21.73,2,"Chr04",63139321,63163626,24306,"+",-22595,-1710,37931945,"Sobic.004G290600","Sobic.004G290600.2","Sobic.004G290600.2.p","PF00400,PF14844,PF15787,PF02138","PTHR13743,PTHR13743:SF16","KOG1787","","","GO:0005515","AT2G45540.1","","WD-40 repeat family protein / beige-related","LOC_Os04g46894.1",NA,"beige/BEACH domain containing protein, expressed"
"119",398,"PstI.TP1012416","Sobic.002G204600","CmD_BI_mm.20",2,59610846,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(C106+4202(1))","","","CmD_BI_mm(mrMLM(1))","","",0.3558,5.46,1,"Chr02",59609992,59611962,1971,"+",-854,-1116,37953812,"Sobic.002G204600","Sobic.002G204600.1","Sobic.002G204600.1.p","","PTHR34807,PTHR34807:SF2","","","","","AT5G57910.1","","","LOC_Os09g25410.1",NA,"expressed protein"
"120",400,"PstI.TP1016611","Sobic.001G150200","Bcirc_cm.26",1,12066190,"Bcirc_cm","Bcirc_cm(PS_N(1))","Bcirc_cm(124+36088im(1))","","Bcirc_cm(FarmCPU(1))","","","",0.3371,10.37,1,"Chr01",12063885,12067646,3762,"+",-2305,-1456,37945045,"Sobic.001G150200","Sobic.001G150200.1","Sobic.001G150200.1.p","PF07645,PF13947,PF07714","PTHR27005,PTHR27005:SF30","KOG1187","2.7.11.1","","GO:0005509,GO:0030247,GO:0006468,GO:0004672","AT1G21270.1","WAK2","wall-associated kinase 2","LOC_Os04g51050.1",NA,"OsWAK53b - OsWAK receptor-like protein kinase, expressed"
"121",403,"PstI.TP1025634","Sobic.002G347300","Bcirc_cm.27",2,71277610,"Bcirc_cm","Bcirc_cm(PS_N(2);PS_Y(8))","Bcirc_cm(C106+4202(4);C116+3293(3);C124+2560(3))","Bcirc_cm(CMLM+SUPER(1)MLM+SUPER(1))","","Bcirc_cm(FASTmrEMMA(2)FASTmrMLM(3)mrMLM(3))","","",0.0721,10.85,1,"Chr02",71274474,71279160,4687,"+",-3136,-1550,37952383,"Sobic.002G347300","Sobic.002G347300.1","Sobic.002G347300.1.p","PF02727,PF02728,PF01179","PTHR10638,PTHR10638:SF37","","","K00276","GO:0055114,GO:0048038,GO:0009308,GO:0008131,GO:0005507","AT1G31690.1","","Copper amine oxidase family protein","LOC_Os06g23114.1",NA,"copper methylamine oxidase precursor, putative, expressed"
"122",407,"PstI.TP1026977","Sobic.004G279300","CmN.85",4,62207098,"CmN","CmN(PS_N(1))","CmN(124+36088im(1))","","CmN(FarmCPU(1))","","","",0.4043,2.62,1,"Chr04",62205986,62209047,3062,"+",-1112,-1949,37929476,"Sobic.004G279300","Sobic.004G279300.1","Sobic.004G279300.1.p","PF00249","PTHR12802,PTHR12802:SF37","","","","","AT5G37260.1","CIR1,RVE2","Homeodomain-like superfamily protein","LOC_Os02g46030.1",NA,"MYB family transcription factor, putative, expressed"
"123",411,"PstI.TP1040729","Sobic.004G197400","SDW_kg.13",4,54844080,"SDW_kg","SDW_kg(PS_N(1))","SDW_kg(C106+4202(1))","","","SDW_kg(mrMLM(1))","","",0.2212,22.36,1,"Chr04",54844528,54853373,8846,"-",448,-9293,37932611,"Sobic.004G197400","Sobic.004G197400.1","Sobic.004G197400.1.p","PF01426,PF00385,PF00145","PTHR10629,PTHR10629:SF28","","2.1.1.37","K00558","GO:0003682","AT1G69770.1","CMT3","chromomethylase 3","LOC_Os03g12570.1",NA,"expressed protein"
"124",413,"PstI.TP1040729","Sobic.004G197300","SDW_kg.13",4,54844080,"SDW_kg","SDW_kg(PS_N(1))","SDW_kg(C106+4202(1))","","","SDW_kg(mrMLM(1))","","",0.2212,22.36,1,"Chr04",54843306,54844272,967,"-",-774,-192,37929334,"Sobic.004G197300","Sobic.004G197300.1","Sobic.004G197300.1.p","","","","","","","","","","",NA,""
"125",429,"PstI.TP1040925","Sobic.001G233800","SDW_kg.14",1,23057306,"SDW_kg","SDW_kg(PS_Y(1))","SDW_kg(124+36088im(1))","","","SDW_kg(mrMLM(1))","","",0.0779,2.927,1,"Chr01",23056373,23058487,2115,"+",-933,-1181,37944890,"Sobic.001G233800","Sobic.001G233800.1","Sobic.001G233800.1.p","PF08879","PTHR34680","","","","","","","","LOC_Os10g30890.1",NA,"expressed protein"
"127",433,"PstI.TP1051083","Sobic.001G160200","Cml_cm.27",1,13150553,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","Cml_cm(FarmCPU(1))","","","",0.2462,1.445,1,"Chr01",13149779,13157433,7655,"+",-774,-6880,37943521,"Sobic.001G160200","Sobic.001G160200.1","Sobic.001G160200.1.p","PF08458,PF05703","PTHR31351,PTHR31351:SF4","","","","","AT3G22810.1","","Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region","LOC_Os03g43510.1",NA,"expressed protein"
"128",435,"PstI.TP105605","Sobic.003G214400","Cml_cm.28",3,54845915,"Cml_cm","Cml_cm(PS_N(2))","Cml_cm(C116+3293(1);C124+2560(1))","","Cml_cm(FarmCPU(2))","","","",0.08621,18.41,3,"Chr03",54843692,54846977,3286,"+",-2223,-1062,37914348,"Sobic.003G214400","Sobic.003G214400.3","Sobic.003G214400.3.p","PF00324","PTHR11785,PTHR11785:SF367","KOG1289","","","GO:0055085,GO:0016020,GO:0006810,GO:0015171,GO:0003333","AT2G01170.1","BAT1","bidirectional amino acid transporter 1","LOC_Os01g42234.2",NA,"amino acid permease family protein, putative, expressed"
"129",438,"PstI.TP1057917","Sobic.003G307600","Cml_cm.29",3,63645828,"Cml_cm","Cml_cm(PS_N(1))","Cml_cm(124+36088im(1))","","","Cml_cm(mrMLM(1))","","",0.2787,9.081,2,"Chr03",63644246,63646771,2526,"-",-1582,-943,37916037,"Sobic.003G307600","Sobic.003G307600.2","Sobic.003G307600.2.p","PF01554","PTHR11206,PTHR11206:SF181","KOG1347","","K03327","GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855","AT1G47530.1","","MATE efflux family protein","LOC_Os01g56050.1",NA,"MATE efflux family protein, putative, expressed"
"130",439,"PstI.TP1064534","Sobic.003G021800","CmD_BI_mm.22",3,1870807,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(C124+2560(1))","","CmD_BI_mm(FarmCPU(1))","","","",0.06855,1.295,2,"Chr03",1869800,1871472,1673,"+",-1007,-665,37914728,"Sobic.003G021800","Sobic.003G021800.2","Sobic.003G021800.2.p","PF00170","PTHR13301,PTHR13301:SF50","","","","GO:0043565,GO:0006355,GO:0003700","AT3G58120.1","ATBZIP61,BZIP61","Basic-leucine zipper (bZIP) transcription factor family protein","LOC_Os01g11350.1",NA,"bZIP transcription factor domain containing protein, expressed"
"131",440,"PstI.TP1066422","Sobic.003G273600","Cml_cm.30",3,60988993,"Cml_cm","Cml_cm(PS_N(2))","Cml_cm(C124+2560(2))","","","Cml_cm(ISIS EM-BLASSO(1)pKWmEB(1))","","",0.2298,10.97,1,"Chr03",60988316,60993620,5305,"+",-677,-4627,37915048,"Sobic.003G273600","Sobic.003G273600.1","Sobic.003G273600.1.p","PF00069","PTHR11909,PTHR11909:SF154","","2.7.11.1","K02218","GO:0006468,GO:0005524,GO:0004672","AT1G72710.1","CKL2","casein kinase 1-like protein 2","LOC_Os01g51200.1",NA,"CK1_CaseinKinase_1.3 - CK1 includes the casein kinase 1 kinases, expressed"
"132",445,"PstI.TP107240","Sobic.008G192800","CmN.89",8,62622087,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.06502,10.05,3,"Chr08",62622079,62627522,5444,"+",-8,-5435,37927732,"Sobic.008G192800","Sobic.008G192800.3","Sobic.008G192800.3.p","PF00069","PTHR11909,PTHR11909:SF146","KOG1164","2.7.11.1","","GO:0006468,GO:0005524,GO:0004672","AT3G13670.1","","Protein kinase family protein","LOC_Os05g11140.2",NA,"CK1_CaseinKinase_1a.5 - CK1 includes the casein kinase 1 kinases, expressed"
"133",450,"PstI.TP107240","Sobic.008G192700","CmN.89",8,62622087,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.06502,10.05,2,"Chr08",62617685,62621880,4196,"+",-4402,207,37927946,"Sobic.008G192700","Sobic.008G192700.2","Sobic.008G192700.2.p","PF07058","PTHR31246,PTHR31246:SF3","","","","GO:0008017,GO:0007010","AT1G24764.1","ATMAP70-2,MAP70-2","microtubule-associated proteins 70-2","LOC_Os12g44340.1",NA,"ATMAP70 protein, putative, expressed"
"134",454,"PstI.TP1082141","Sobic.002G187500","CCirc_cm.13",2,57174602,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","CCirc_cm(FarmCPU(1))","","","",0.09616,4.375,1,"Chr02",57174223,57176527,2305,"+",-379,-1925,37955563,"Sobic.002G187500","Sobic.002G187500.1","Sobic.002G187500.1.p","PF04588","PTHR12297","KOG4431","","","","AT3G48030.1","","hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein","LOC_Os09g20900.1",NA,"hypoxia-responsive family protein, putative, expressed"
"135",455,"PstI.TP1083673","Sobic.007G137000","CmDW_g.20",7,56447700,"CmDW_g","CmDW_g(PS_Y(3))","CmDW_g(C106+4202(3))","","","CmDW_g(FASTmrMLM(1)pKWmEB(1)pLARmEB(1))","","",0.4245,9.756,4,"Chr07",56445832,56450594,4763,"+",-1868,-2894,37935282,"Sobic.007G137000","Sobic.007G137000.4","Sobic.007G137000.4.p","","PTHR12561,PTHR12561:SF9","","","","","AT3G29010.1","","Biotin/lipoate A/B protein ligase family","LOC_Os08g33810.1",NA,"lipoate protein ligase, putative, expressed"
"136",456,"PstI.TP108652","Sobic.002G121300","CmD_BI_mm.23",2,15963619,"CmD_BI_mm","CmD_BI_mm(PS_Y(1))","CmD_BI_mm(C124+2560(1))","","","CmD_BI_mm(mrMLM(1))","","",0.3975,16.6,1,"Chr02",15956504,15964911,8408,"+",-7115,-1292,37949879,"Sobic.002G121300","Sobic.002G121300.1","Sobic.002G121300.1.p","PF00450","PTHR11802,PTHR11802:SF46","KOG1282","","K16296","GO:0006508,GO:0004185","AT5G09640.1","SCPL19,SNG2","serine carboxypeptidase-like 19","LOC_Os11g24510.1",NA,"OsSCP56 - Putative Serine Carboxypeptidase homologue, expressed"
"137",458,"PstI.TP1090311","Sobic.006G103000","CmN.91",6,47330022,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.07747,8.603,1,"Chr06",47328961,47330684,1724,"-",-1061,-662,37945602,"Sobic.006G103000","Sobic.006G103000.1","Sobic.006G103000.1.p","","PTHR35503,PTHR35503:SF1","","","","","","","","LOC_Os04g38320.1",NA,"expressed protein"
"138",459,"PstI.TP1098463","Sobic.004G315400","CmN.92",4,65166320,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","CmN(CMLM+SUPER(1))","","","","",0.1768,0.8039,1,"Chr04",65165615,65168511,2897,"+",-705,-2191,37931270,"Sobic.004G315400","Sobic.004G315400.1","Sobic.004G315400.1.p","PF16916,PF01545","PTHR11562,PTHR11562:SF59","KOG1485","","","GO:0055085,GO:0016021,GO:0008324,GO:0006812","AT3G58060.1","","Cation efflux family protein","LOC_Os02g53490.1",NA,"cation efflux family protein, putative, expressed"
"139",461,"PstI.TP10996","Sobic.006G239000","CmD_LI_mm.20",6,57974096,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(C116+3293(1))","","CmD_LI_mm(FarmCPU(1))","","","",0.1207,1.857,1,"Chr06",57969070,57983024,13955,"+",-5026,-8928,37949133,"Sobic.006G239000","Sobic.006G239000.1","Sobic.006G239000.1.p","PF15044,PF12807,PF13424","PTHR12601,PTHR12601:SF18","KOG1839","","K03255","","AT4G28080.1","","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os04g55230.1",NA,"tetratricopeptide repeat domain containing protein, putative, expressed"
"140",497,"PstI.TP1100764","Sobic.002G244901","CmN.94",2,63346042,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(FASTmrMLM(1))","","",0.3226,1.928,1,"Chr02",63346816,63351078,4263,"-",774,-5036,37953780,"Sobic.002G244901","Sobic.002G244901.1","Sobic.002G244901.1.p","","","","","","","","","","",NA,""
"141",498,"PstI.TP1100764","Sobic.002G244800","CmN.94",2,63346042,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(FASTmrMLM(1))","","",0.3226,1.928,1,"Chr02",63346258,63346900,643,"-",216,-858,37951523,"Sobic.002G244800","Sobic.002G244800.1","Sobic.002G244800.1.p","","","","","","","","","","",NA,""
"143",535,"PstI.TP111833","Sobic.001G384600","CmN.96",1,67205643,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.0582,6.868,1,"Chr01",67201155,67205912,4758,"+",-4488,-269,37940747,"Sobic.001G384600","Sobic.001G384600.1","Sobic.001G384600.1.p","PF00759","PTHR22298,PTHR22298:SF36","","3.2.1.4","","GO:0005975,GO:0004553","AT5G49720.1","ATGH9A1,DEC,GH9A1,IRX2,KOR,KOR1,RSW2,TSD1","glycosyl hydrolase 9A1","LOC_Os03g21210.1",NA,"endoglucanase, putative, expressed"
"144",536,"PstI.TP1123778","Sobic.002G227900","CmN.97",2,61958273,"CmN","CmN(PS_Y(9))","CmN(C106+4202(2);C116+3293(4);C124+2560(3))","CmN(CMLM+SUPER(2)MLM+SUPER(3))","","CmN(mrMLM(1))","","CmN(GLM(3))",0.09677,11.84,1,"Chr02",61957542,61959386,1845,"-",-731,-1113,37952000,"Sobic.002G227900","Sobic.002G227900.1","Sobic.002G227900.1.p","PF12695","PTHR23024,PTHR23024:SF165","KOG1515","4.2.99.22,3.1.1.1","","","AT1G47480.1","","alpha/beta-Hydrolases superfamily protein","LOC_Os09g28690.1",NA,"gibberellin receptor GID1L2, putative, expressed"
"145",540,"PstI.TP1128002","Sobic.002G205700","CmN.99",2,59726913,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(mrMLM(1))","","",0.0246,14.63,1,"Chr02",59726662,59729516,2855,"+",-251,-2603,37951499,"Sobic.002G205700","Sobic.002G205700.1","Sobic.002G205700.1.p","","","","","","","","","","",NA,""
"146",542,"PstI.TP1132955","Sobic.004G297300","CmD_BI_mm.25",4,63683010,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(C106+4202(1))","","","CmD_BI_mm(mrMLM(1))","","",0.1971,20.04,1,"Chr04",63678188,63683509,5322,"-",-4822,-499,37929337,"Sobic.004G297300","Sobic.004G297300.1","Sobic.004G297300.1.p","PF01088","PTHR10589","KOG1415","3.4.19.12","K05609","GO:0006511,GO:0005622,GO:0004843","AT4G17510.1","UCH3","ubiquitin C-terminal hydrolase 3","LOC_Os02g43760.1",NA,"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
"147",543,"PstI.TP1132955","Sobic.004G297400","CmD_BI_mm.25",4,63683010,"CmD_BI_mm","CmD_BI_mm(PS_N(1))","CmD_BI_mm(C106+4202(1))","","","CmD_BI_mm(mrMLM(1))","","",0.1971,20.04,1,"Chr04",63683851,63687124,3274,"-",841,-4114,37931402,"Sobic.004G297400","Sobic.004G297400.1","Sobic.004G297400.1.p","PF00378","PTHR11941,PTHR11941:SF79","KOG1679","4.2.1.18","K05607","GO:0008152,GO:0003824","AT4G16800.1","","ATP-dependent caseinolytic (Clp) protease/crotonase family protein","LOC_Os02g43720.1",NA,"enoyl-CoA hydratase/isomerase family protein, putative, expressed"
"148",550,"PstI.TP1145813","Sobic.005G206500","CCirc_cm.16",5,69264081,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","","CCirc_cm(ISIS EM-BLASSO(1))","","",0.1176,24.74,1,"Chr05",69260461,69264619,4159,"-",-3620,-538,37924352,"Sobic.005G206500","Sobic.005G206500.1","Sobic.005G206500.1.p","PF01699","PTHR11878","KOG1306","","K03452","GO:0055085,GO:0016021","AT2G47600.1","ATMHX,ATMHX1,MHX,MHX1","magnesium/proton exchanger","LOC_Os11g43860.1",NA,"sodium/calcium exchanger protein, putative, expressed"
"149",551,"PstI.TP1146105","Sobic.003G156500","CmN.101",3,17294985,"CmN","CmN(PS_Y(2))","CmN(124+36088im(2))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","",0.3806,0.1069,1,"Chr03",17294003,17303044,9042,"+",-982,-8059,37917296,"Sobic.003G156500","Sobic.003G156500.1","Sobic.003G156500.1.p","PF00400,PF08145","PTHR17605","","","K14824","GO:0005515,GO:0006364","AT2G40360.1","","Transducin/WD40 repeat-like superfamily protein","LOC_Os07g25440.1",NA,"WD domain, G-beta repeat domain containing protein, expressed"
"150",552,"PstI.TP1148487","Sobic.004G153000","CmN.102",4,48397503,"CmN","CmN(PS_Y(1))","CmN(C106+4202(1))","CmN(CMLM+SUPER(1))","","","","",0.08491,2.998,1,"Chr04",48395164,48399044,3881,"+",-2339,-1541,37931453,"Sobic.004G153000","Sobic.004G153000.1","Sobic.004G153000.1.p","","PTHR35481,PTHR35481:SF1","","","","","AT2G38430.1","","","LOC_Os02g30140.2",NA,"expressed protein"
"151",554,"PstI.TP1148558","Sobic.002G229300","CmDW_g.24",2,62049812,"CmDW_g","CmDW_g(PS_N(1))","CmDW_g(C116+3293(1))","","CmDW_g(FarmCPU(1))","","","",0.05172,17.13,1,"Chr02",62048550,62052330,3781,"-",-1262,-2518,37949953,"Sobic.002G229300","Sobic.002G229300.1","Sobic.002G229300.1.p","PF00450","PTHR11802,PTHR11802:SF56","","3.4.16.6","K16297","GO:0006508,GO:0004185","AT3G63470.1","scpl40","serine carboxypeptidase-like 40","LOC_Os09g28840.1",NA,"OsSCP43 - Putative Serine Carboxypeptidase homologue, expressed"
"152",555,"PstI.TP1150566","Sobic.009G018200","CmN.103",9,1671674,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","CmN(pKWmEB(1))","","",0.1129,1.926,1,"Chr09",1669989,1672866,2878,"-",-1685,-1192,37921775,"Sobic.009G018200","Sobic.009G018200.1","Sobic.009G018200.1.p","PF08276,PF00954,PF01453,PF00069","PTHR27002,PTHR27002:SF37","KOG1187","2.7.11.1","","GO:0048544,GO:0006468,GO:0005524,GO:0004672","AT2G19130.1","","S-locus lectin protein kinase family protein","LOC_Os07g08860.1",NA,"S-domain receptor-like protein kinase, putative, expressed"
"154",607,"PstI.TP1158211","Sobic.003G281300","CCirc_cm.17",3,61619462,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","","CCirc_cm(ISIS EM-BLASSO(1))","","",0.1261,5.739,1,"Chr03",61620333,61624955,4623,"+",871,-5493,37913497,"Sobic.003G281300","Sobic.003G281300.1","Sobic.003G281300.1.p","PF02362","PTHR31920,PTHR31920:SF15","","","","GO:0003677","AT4G34400.1","","AP2/B3-like transcriptional factor family protein","LOC_Os01g52540.1",NA,"B3 DNA binding domain containing protein, expressed"
"155",608,"PstI.TP1158211","Sobic.003G281200","CCirc_cm.17",3,61619462,"CCirc_cm","CCirc_cm(PS_N(1))","CCirc_cm(124+36088im(1))","","","CCirc_cm(ISIS EM-BLASSO(1))","","",0.1261,5.739,1,"Chr03",61615956,61622310,6355,"+",-3506,-2848,37917941,"Sobic.003G281200","Sobic.003G281200.1","Sobic.003G281200.1.p","PF13793,PF00156","PTHR10210,PTHR10210:SF45","KOG1448","2.7.6.1","","GO:0009116","AT1G10700.1","PRS3","phosphoribosyl pyrophosphate (PRPP) synthase 3","LOC_Os01g52530.1",NA,"phosphoribosyl transferase, putative, expressed"
"156",609,"PstI.TP116046","Sobic.007G192100","CmN.105",7,62490129,"CmN","CmN(PS_Y(3))","CmN(124+36088im(3))","CmN(CMLM+SUPER(1)MLM+SUPER(1))","","","","CmN(GLM(1))",0.1629,11.71,1,"Chr07",62489682,62492948,3267,"+",-447,-2819,37935039,"Sobic.007G192100","Sobic.007G192100.1","Sobic.007G192100.1.p","PF01105","PTHR22811,PTHR22811:SF50","KOG1692","","","GO:0016021,GO:0006810","AT3G07680.1","","emp24/gp25L/p24 family/GOLD family protein","LOC_Os08g42050.1",NA,"emp24/gp25L/p24 family protein, putative, expressed"
"157",611,"PstI.TP1164091","Sobic.006G215000","SDW_kg.17",6,56319647,"SDW_kg","SDW_kg(PS_N(1))","SDW_kg(C124+2560(1))","","","SDW_kg(ISIS EM-BLASSO(1))","","",0.2903,16.78,1,"Chr06",56315381,56321716,6336,"+",-4266,-2069,37947707,"Sobic.006G215000","Sobic.006G215000.1","Sobic.006G215000.1.p","PF16488,PF08699,PF16486,PF02170,PF02171","PTHR22891,PTHR22891:SF4","","","K11593","GO:0005515,GO:0003676","AT1G31280.1","AGO2","Argonaute family protein","LOC_Os04g52540.1",NA,"retrotransposon protein, putative, unclassified, expressed"
"158",614,"PstI.TP117081","Sobic.002G153700","CmD_LI_mm.23",2,45986549,"CmD_LI_mm","CmD_LI_mm(PS_N(3))","CmD_LI_mm(C106+4202(1);C124+2560(2))","","","CmD_LI_mm(FASTmrMLM(1)mrMLM(2))","","",0.0902,47.45,2,"Chr02",45970904,45987364,16461,"-",-15645,-815,37954302,"Sobic.002G153700","Sobic.002G153700.2","Sobic.002G153700.2.p","PF08638","PTHR12809:SF3,PTHR12809","","","K15156","GO:0001104,GO:0006357,GO:0016592","AT3G04740.1","ATMED14,MED14,SWP","RNA polymerase II transcription mediators","LOC_Os09g10960.1",NA,"SWP, putative, expressed"
"159",618,"PstI.TP1181476","Sobic.005G025900","CmD_LI_mm.24",5,2299991,"CmD_LI_mm","CmD_LI_mm(PS_N(3))","CmD_LI_mm(C116+3293(1);C124+2560(2))","","","CmD_LI_mm(ISIS EM-BLASSO(2)pKWmEB(1))","","",0.2284,3.822,1,"Chr05",2298782,2302410,3629,"-",-1209,-2419,37924277,"Sobic.005G025900","Sobic.005G025900.1","Sobic.005G025900.1.p","PF03547","PTHR31752,PTHR31752:SF20","","","K13947","GO:0055085,GO:0016021","AT2G01420.1","ATPIN4,PIN4","Auxin efflux carrier family protein","LOC_Os11g04190.1",NA,"auxin efflux carrier component, putative, expressed"
"162",630,"PstI.TP1187427","Sobic.006G145500","CmN.109",6,50717397,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.06101,7.382,3,"Chr06",50718232,50726722,8491,"-",835,-9325,37947355,"Sobic.006G145500","Sobic.006G145500.3","Sobic.006G145500.3.p","PF00232","PTHR10353:SF54,PTHR10353","","3.2.1.21","K05350","GO:0004553,GO:0005975","AT1G61820.1","BGLU46","beta glucosidase 46","LOC_Os04g43390.2",NA,"Os4bglu16 - monolignol beta-glucoside homologue, expressed"
"163",631,"PstI.TP1187427","Sobic.006G145400","CmN.109",6,50717397,"CmN","CmN(PS_Y(1))","CmN(124+36088im(1))","","","","","CmN(GLM(1))",0.06101,7.382,1,"Chr06",50705339,50716476,11138,"-",-12058,921,37946825,"Sobic.006G145400","Sobic.006G145400.1","Sobic.006G145400.1.p","PF00232","PTHR10353,PTHR10353:SF54","","3.2.1.21","K05350","GO:0005975,GO:0004553","AT1G61820.1","BGLU46","beta glucosidase 46","LOC_Os04g43360.1",NA,"Os4bglu14 - monolignol beta-glucoside homologue without catalytic acid/base, expressed"
"164",638,"PstI.TP1193013","Sobic.006G277200","CmD_LI_mm.25",6,60825902,"CmD_LI_mm","CmD_LI_mm(PS_N(1))","CmD_LI_mm(C106+4202(1))","","CmD_LI_mm(FarmCPU(1))","","","",0.1132,9.211,1,"Chr06",60822255,60826353,4099,"+",-3647,-451,37945481,"Sobic.006G277200","Sobic.006G277200.1","Sobic.006G277200.1.p","PF00646,PF01167","PTHR16517,PTHR16517:SF38","KOG2502","","","GO:0005515","AT1G76900.1","AtTLP1,TLP1","tubby like protein 1","LOC_Os04g59130.1",NA,"OsFBT6 - F-box and tubby domain containing protein, expressed"
