,SNP,ID,Chromosome,Position,Trait.name,PS,Ind.SNP,SUPER,FarmCPU,mrMLM,rrBLUP,GLM,MAF.1.x,PVE.1.y,Gene,chr,start,end,width,strand
1324,PstI.TP6058,CmD_LI_mm.47,11,37,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(C124+2560(1)),,,CmD_LI_mm(FASTmrMLM(1)),,,0.0766,20.08,NA,NA,NA,NA,NA,NA
1332,PstI.TP636384,Bcirc_cm.56,11,4471,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(124+36088im(1)),,Bcirc_cm(FarmCPU(1)),,,,0.1156,1.608,NA,NA,NA,NA,NA,NA
1333,PstI.TP63668,CCirc_cm.39,11,530,CCirc_cm,CCirc_cm(PS_Y(4)),CCirc_cm(C106+4202(3);C116+3293(1)),,,CCirc_cm(FASTmrMLM(1)ISIS EM-BLASSO(2)pKWmEB(1)),,,0.1741,25.65,NA,NA,NA,NA,NA,NA
1334,PstI.TP63668,SDW_kg.37,11,530,SDW_kg,SDW_kg(PS_Y(1)),SDW_kg(C106+4202(1)),,,SDW_kg(pKWmEB(1)),,,0.1651,10.76,NA,NA,NA,NA,NA,NA
1335,PstI.TP63668,Yld_kg.40,11,530,Yld_kg,Yld_kg(PS_N(2);PS_Y(1)),Yld_kg(C106+4202(3)),,,Yld_kg(FASTmrMLM(1)pKWmEB(2)),,,0.1651,15.86,NA,NA,NA,NA,NA,NA
1336,PstI.TP641518,CmN.199,11,4507,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,,CmN(pKWmEB(1)),,,0.0927,1.061,NA,NA,NA,NA,NA,NA
1337,PstI.TP646910,CmD_LI_mm.48,11,4558,CmD_LI_mm,CmD_LI_mm(PS_N(1)),CmD_LI_mm(C106+4202(1)),,CmD_LI_mm(FarmCPU(1)),,,,0.06132,2.403,NA,NA,NA,NA,NA,NA
1366,PstI.TP69104,Bcirc_cm.60,11,574,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(FASTmrMLM(1)),,,0.2782,15.7,NA,NA,NA,NA,NA,NA
1369,PstI.TP698973,CmN.202,11,4833,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.1656,9.834,NA,NA,NA,NA,NA,NA
1429,PstI.TP705377,CmD_BI_mm.60,11,4888,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(C124+2560(1)),,CmD_BI_mm(FarmCPU(1)),,,,0.246,21.36,NA,NA,NA,NA,NA,NA
1466,PstI.TP713758,CmN.205,7,53864081,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.07971,7.567,NA,NA,NA,NA,NA,NA
1495,PstI.TP724007,CmN.209,11,4995,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.07045,8.552,NA,NA,NA,NA,NA,NA
1499,PstI.TP737962,CmD_BI_mm.62,11,5096,CmD_BI_mm,CmD_BI_mm(PS_N(4)),CmD_BI_mm(C106+4202(4)),,,CmD_BI_mm(FASTmrEMMA(1)FASTmrMLM(1)ISIS EM-BLASSO(1)pKWmEB(1)),,,0.4151,14.73,NA,NA,NA,NA,NA,NA
1500,PstI.TP737962,CmD_LI_mm.53,11,5096,CmD_LI_mm,CmD_LI_mm(PS_N(3)),CmD_LI_mm(C106+4202(3)),,,CmD_LI_mm(FASTmrEMMA(1)FASTmrMLM(1)ISIS EM-BLASSO(1)),,,0.4151,13.93,NA,NA,NA,NA,NA,NA
1501,PstI.TP737962,CmDW_g.53,11,5096,CmDW_g,CmDW_g(PS_N(6);PS_Y(1)),CmDW_g(C106+4202(7)),,CmDW_g(FarmCPU(1)),CmDW_g(FASTmrEMMA(1)FASTmrMLM(1)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.4183,24,NA,NA,NA,NA,NA,NA
1502,PstI.TP737962,Cml_cm.56,11,5096,Cml_cm,Cml_cm(PS_N(3)),Cml_cm(C106+4202(3)),,Cml_cm(FarmCPU(1)),Cml_cm(FASTmrMLM(1)ISIS EM-BLASSO(1)),,,0.4151,22.36,NA,NA,NA,NA,NA,NA
1574,PstI.TP749093,CmN.213,2,74477521,CmN,CmN(PS_N(1)),CmN(124+36088im(1)),,CmN(FarmCPU(1)),,,,0.4121,0.3707,NA,NA,NA,NA,NA,NA
1576,PstI.TP752361,CmN.214,9,3829005,CmN,CmN(PS_N(2)),CmN(124+36088im(2)),,,CmN(FASTmrMLM(1)pKWmEB(1)),,,0.0282,24.1,NA,NA,NA,NA,NA,NA
1581,PstI.TP758246,CmN.215,10,10804856,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.05402,7.019,NA,NA,NA,NA,NA,NA
1588,PstI.TP771300,CmN.216,8,5124822,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.173,8.172,NA,NA,NA,NA,NA,NA
1589,PstI.TP771300,CmD_BI_mm.66,8,5124822,CmD_BI_mm,CmD_BI_mm(PS_Y(1)),CmD_BI_mm(124+36088im(1)),CmD_BI_mm(CMLM+SUPER(1)),,,,,0.186,1,NA,NA,NA,NA,NA,NA
1649,PstI.TP788810,CmN.219,3,8503251,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.4395,7.119,NA,NA,NA,NA,NA,NA
1712,PstI.TP803637,Bcirc_cm.71,11,5567,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),Bcirc_cm(MLM+SUPER(1)),,,,,0.1656,1.432,NA,NA,NA,NA,NA,NA
1714,PstI.TP808677,CCirc_cm.44,11,5608,CCirc_cm,CCirc_cm(PS_Y(1)),CCirc_cm(124+36088im(1)),,,CCirc_cm(FASTmrMLM(1)),,,0.2899,8.794,NA,NA,NA,NA,NA,NA
1715,PstI.TP81008,CmD_BI_mm.69,11,677,CmD_BI_mm,CmD_BI_mm(PS_N(3)),CmD_BI_mm(C116+3293(1);C124+2560(2)),,,CmD_BI_mm(ISIS EM-BLASSO(2)pKWmEB(1)),,,0.3992,13.85,NA,NA,NA,NA,NA,NA
1716,PstI.TP81008,CmD_LI_mm.58,11,677,CmD_LI_mm,CmD_LI_mm(PS_N(2)),CmD_LI_mm(C124+2560(2)),,,CmD_LI_mm(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.3992,7.921,NA,NA,NA,NA,NA,NA
1723,PstI.TP816953,CmD_LI_mm.59,11,5653,CmD_LI_mm,CmD_LI_mm(PS_Y(1)),CmD_LI_mm(124+36088im(1)),,,CmD_LI_mm(ISIS EM-BLASSO(1)),,,0.3145,4.176,NA,NA,NA,NA,NA,NA
1726,PstI.TP834454,CmD_BI_mm.70,11,5776,CmD_BI_mm,CmD_BI_mm(PS_N(3)),CmD_BI_mm(C124+2560(3)),,,CmD_BI_mm(FASTmrMLM(1)ISIS EM-BLASSO(1)pKWmEB(1)),,,0.0766,3.064,NA,NA,NA,NA,NA,NA
1727,PstI.TP834454,CmDW_g.59,11,5776,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(C116+3293(1)),,,CmDW_g(FASTmrMLM(1)),,,0.0776,1.809,NA,NA,NA,NA,NA,NA
1728,PstI.TP834454,Yld_kg.53,11,5776,Yld_kg,Yld_kg(PS_N(2)),Yld_kg(C116+3293(2)),,Yld_kg(FarmCPU(1)),Yld_kg(FASTmrMLM(1)),,,0.0776,10.79,NA,NA,NA,NA,NA,NA
1729,PstI.TP834967,Yld_kg.54,11,5782,Yld_kg,Yld_kg(PS_N(2)),Yld_kg(124+36088im(2)),,,Yld_kg(FASTmrMLM(1)pKWmEB(1)),,,0.1653,7.713,NA,NA,NA,NA,NA,NA
1730,PstI.TP834967,CmDW_g.60,11,5782,CmDW_g,CmDW_g(PS_N(1)),CmDW_g(124+36088im(1)),,,CmDW_g(pKWmEB(1)),,,0.1653,5.965,NA,NA,NA,NA,NA,NA
1731,PstI.TP834967,SDW_kg.49,11,5782,SDW_kg,SDW_kg(PS_N(2)),SDW_kg(124+36088im(2)),,,SDW_kg(FASTmrMLM(1)pKWmEB(1)),,,0.1653,17.29,NA,NA,NA,NA,NA,NA
1732,PstI.TP836173,CmN.225,11,5793,CmN,CmN(PS_Y(3)),CmN(C116+3293(1);C124+2560(2)),CmN(CMLM+SUPER(2)MLM+SUPER(1)),,,,,0.1815,0.1194,NA,NA,NA,NA,NA,NA
1737,PstI.TP838943,CmD_BI_mm.71,3,4037471,CmD_BI_mm,CmD_BI_mm(PS_N(4);PS_Y(2)),CmD_BI_mm(124+36088im(6)),,,CmD_BI_mm(FASTmrMLM(2)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.0968,11.66,NA,NA,NA,NA,NA,NA
1738,PstI.TP838943,CmDW_g.61,3,4037471,CmDW_g,CmDW_g(PS_N(2)),CmDW_g(124+36088im(2)),,,CmDW_g(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.0968,4.065,NA,NA,NA,NA,NA,NA
1739,PstI.TP838943,Cml_cm.65,3,4037471,Cml_cm,Cml_cm(PS_N(4);PS_Y(2)),Cml_cm(124+36088im(6)),,,Cml_cm(FASTmrMLM(2)ISIS EM-BLASSO(1)mrMLM(1)pKWmEB(2)),,,0.0968,6.813,NA,NA,NA,NA,NA,NA
1770,PstI.TP846513,CmN.227,11,5867,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.07298,13.16,NA,NA,NA,NA,NA,NA
1773,PstI.TP849929,Bcirc_cm.73,6,57879722,Bcirc_cm,Bcirc_cm(PS_Y(2)),Bcirc_cm(124+36088im(2)),Bcirc_cm(CMLM+SUPER(1)MLM+SUPER(1)),,,,,0.2418,0.9429,NA,NA,NA,NA,NA,NA
1784,PstI.TP856013,CmN.229,11,5962,CmN,CmN(PS_Y(2)),CmN(C106+4202(2)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,,0.06132,3.875,NA,NA,NA,NA,NA,NA
1785,PstI.TP856013,CmDW_g.65,11,5962,CmDW_g,CmDW_g(PS_Y(1)),CmDW_g(C106+4202(1)),CmDW_g(CMLM+SUPER(1)),,,,,0.06132,0.8843,NA,NA,NA,NA,NA,NA
1792,PstI.TP867369,CmD_BI_mm.72,3,14568699,CmD_BI_mm,CmD_BI_mm(PS_N(1)),CmD_BI_mm(124+36088im(1)),,CmD_BI_mm(FarmCPU(1)),,,,0.06645,0.8874,NA,NA,NA,NA,NA,NA
1797,PstI.TP871892,Bcirc_cm.75,11,6087,Bcirc_cm,Bcirc_cm(PS_N(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(ISIS EM-BLASSO(1)),,,0.0444,11.24,NA,NA,NA,NA,NA,NA
1798,PstI.TP875140,CCirc_cm.46,2,72930521,CCirc_cm,CCirc_cm(PS_Y(1)),CCirc_cm(124+36088im(1)),,,CCirc_cm(ISIS EM-BLASSO(1)),,,0.084,3.042,NA,NA,NA,NA,NA,NA
1799,PstI.TP875140,CmN.233,2,72930521,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.225,8.457,NA,NA,NA,NA,NA,NA
1800,PstI.TP881941,CmN.234,11,6157,CmN,CmN(PS_Y(1)),CmN(C106+4202(1)),CmN(MLM+SUPER(1)),,,,,0.4623,2.18E-06,NA,NA,NA,NA,NA,NA
1811,PstI.TP902502,Bcirc_cm.76,11,6289,Bcirc_cm,Bcirc_cm(PS_Y(1)),Bcirc_cm(124+36088im(1)),,,Bcirc_cm(ISIS EM-BLASSO(1)),,,0.2621,4.764,NA,NA,NA,NA,NA,NA
1813,PstI.TP908218,CmN.236,11,6342,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.08976,7.671,NA,NA,NA,NA,NA,NA
1814,PstI.TP916844,CmN.237,11,6407,CmN,CmN(PS_Y(3)),CmN(124+36088im(3)),CmN(CMLM+SUPER(1)MLM+SUPER(1)),,,,CmN(GLM(1)),0.05298,7.094,NA,NA,NA,NA,NA,NA
1869,PstI.TP977299,CmN.238,11,6780,CmN,CmN(PS_Y(1)),CmN(124+36088im(1)),,,,,CmN(GLM(1)),0.05187,7.123,NA,NA,NA,NA,NA,NA
1875,PstI.TP984199,CmN.239,11,6827,CmN,CmN(PS_N(2)),CmN(C116+3293(1);C124+2560(1)),,,CmN(ISIS EM-BLASSO(1)pKWmEB(1)),,,0.3578,7.646,NA,NA,NA,NA,NA,NA
