,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
2611,PstI.TP1234008,"PF07732,PF07731,PF00394","PTHR11709,PTHR11709:SF115",,1.10.3.3,,"GO:0005507,GO:0055114,GO:0016491",AT4G12420,SKU5,Cupredoxin superfamily protein,LOC_Os08g05820,NA,"monocopper oxidase, putative, expressed"
2615,PstI.TP1234008,PF00923,"PTHR10683,PTHR10683:SF10",KOG2772,2.2.1.2,K00616,GO:0005975,AT1G12230,,Aldolase superfamily protein,LOC_Os08g05830,NA,"transaldolase, putative, expressed"
2616,PstI.TP1234552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2617,PstI.TP1234552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2618,PstI.TP1234552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2619,PstI.TP1234552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2620,PstI.TP1234552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2622,PstI.TP1235909,PF00412,"PTHR24206,PTHR24206:SF22",KOG1700,,K09377,GO:0008270,AT3G61230,,GATA type zinc finger transcription factor family protein,LOC_Os02g42820,NA,"OsPLIM2a - LIM domain protein, putative actin-binding protein and transcription factor, expressed"
2623,PstI.TP1235909,,,,,,,,,,,NA,
2624,PstI.TP1235909,PF00106,"PTHR24322,PTHR24322:SF453",KOG1208,1.1.1.208,K15095,"GO:0016491,GO:0008152",AT1G01800,,NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os02g42810,NA,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"
2625,PstI.TP1235909,PF13561,"PTHR24322,PTHR24322:SF376",KOG1208,1.1.1.208,,,AT1G01800,,NAD(P)-binding Rossmann-fold superfamily protein,LOC_Os02g42810,NA,"oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed"
2627,PstI.TP1235985,PF04129,"PTHR14190,PTHR14190:SF7",,,,,AT1G71270,"ATVPS52,POK,TTD8",Vps52 / Sac2 family ,LOC_Os03g30460,NA,"vacuolar protein sorting-associated protein 52, putative, expressed"
2628,PstI.TP1235985,PF14309,"PTHR31680,PTHR31680:SF5",,,,,AT1G74160,,,LOC_Os03g30530,NA,expressed protein
2636,PstI.TP1236277,"PF05191,PF00406","PTHR23359,PTHR23359:SF99",KOG3078,2.7.4.3,K00939,"GO:0004017,GO:0019205,GO:0006139,GO:0005524",AT5G63400,ADK1,adenylate kinase 1,LOC_Os11g20790,NA,"adenylate kinase, putative, expressed"
2637,PstI.TP1236277,PF09273,"PTHR13271:SF9,PTHR13271",KOG1337,2.1.1.127,,,AT5G14260,,Rubisco methyltransferase family protein,LOC_Os12g13460,NA,"SET domain-containing protein, putative, expressed"
2638,PstI.TP1236277,PF02127,"PTHR28570,PTHR28570:SF1",,3.4.11.21,K01267,"GO:0008270,GO:0006508,GO:0004177",AT5G60160,,Zn-dependent exopeptidases superfamily protein,LOC_Os12g13390,NA,"aspartyl aminopeptidase, putative, expressed"
2639,PstI.TP1236277,PF07714,"PTHR27001,PTHR27001:SF36",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT1G23540,"AtPERK12,IGI1",Protein kinase superfamily protein,LOC_Os03g37120,NA,"retrotransposon protein, putative, unclassified, expressed"
2640,PstI.TP1236551,PF06058,"PTHR16290,PTHR16290:SF3",KOG2868,,K12611,,AT1G08370,"ATDCP1,DCP1",decapping 1,LOC_Os11g05650,NA,"mRNA-decapping enzyme, putative, expressed"
2642,PstI.TP1236551,PF12937,"PTHR33736,PTHR33736:SF2",,,,GO:0005515,AT2G36090,,F-box family protein,LOC_Os11g05660,NA,"OsFBX396 - F-box domain containing protein, expressed"
2643,PstI.TP1237556,"PF08263,PF13855,PF00069","PTHR27000,PTHR27000:SF97",KOG1187,2.7.11.1,,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT1G72180,,Leucine-rich receptor-like protein kinase family protein,LOC_Os01g65650,NA,"receptor-like protein kinase HAIKU2 precursor, putative, expressed"
2644,PstI.TP1237556,PF01490,"PTHR22950,PTHR22950:SF257",KOG1303,,,,AT1G10010,"AAP8,ATAAP8",amino acid permease 8,LOC_Os01g65660,NA,"amino acid transporter, putative, expressed"
2645,PstI.TP1238644,PF05019,"PTHR12922,PTHR12922:SF7",KOG3244,,K18586,GO:0006744,AT2G03690,,coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein,LOC_Os04g57790,NA,"ubiquinone biosynthesis protein COQ4, putative, expressed"
2646,PstI.TP1238644,PF00637,PTHR12616,,,,"GO:0016192,GO:0006886",AT1G08190,"ATVAM2,ATVPS41,VAM2,VPS41,ZIP2",vacuolar protein sorting 41,LOC_Os04g11880,NA,"WD domain, G-beta repeat domain containing protein, expressed"
2648,PstI.TP1238644,PF03000,"PTHR32370,PTHR32370:SF15",,,,,AT3G19850,,Phototropic-responsive NPH3 family protein,LOC_Os04g57800,NA,"BTBN13 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
2652,PstI.TP1239894,PF03763,"PTHR31471,PTHR31471:SF9",,,,,AT1G45207,,Remorin family protein,LOC_Os09g28300,NA,"remorin C-terminal domain containing protein, putative, expressed"
2653,PstI.TP1239894,PF00170,"PTHR22952,PTHR22952:SF190",,,K14432,"GO:0043565,GO:0006355,GO:0003700",AT3G19290,"ABF4,AREB2",ABRE binding factor 4,LOC_Os09g28310,NA,"bZIP transcription factor, putative, expressed"
2656,PstI.TP1241952,"PF00394,PF07732,PF07731","PTHR11709,PTHR11709:SF25",,1.10.3.2,K05909,"GO:0055114,GO:0016491,GO:0005507",AT5G60020,"ATLAC17,LAC17",laccase 17,LOC_Os03g16610,NA,"laccase precursor protein, putative, expressed"
2657,PstI.TP1243155,,,,,,,,,,,NA,
2659,PstI.TP1248141,PF03208,PTHR38519,,,,,AT3G13720,"PRA1.F3,PRA8",PRA1 (Prenylated rab acceptor) family protein,LOC_Os10g41420,NA,expressed protein
2660,PstI.TP1248141,PF00334,PTHR11349,KOG0888,2.7.4.6,K00940,"GO:0006241,GO:0006228,GO:0006183,GO:0006165,GO:0004550",AT4G09320,NDPK1,Nucleoside diphosphate kinase family protein,LOC_Os10g41410,NA,"nucleoside diphosphate kinase, putative, expressed"
2661,PstI.TP1248141,PF01625,"PTHR10173,PTHR10173:SF23",KOG1635,1.8.4.11,K07304,"GO:0055114,GO:0008113,GO:0030091,GO:0016671,GO:0006979",AT4G25130,PMSR4,peptide met sulfoxide reductase 4,LOC_Os10g41400,NA,"peptide methionine sulfoxide reductase, putative, expressed"
2662,PstI.TP1248141,PF00069,"PTHR11909,PTHR11909:SF7",KOG1167,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672",AT4G16970,,Protein kinase superfamily protein,LOC_Os10g41390,NA,"protein kinase domain containing protein, expressed"
2664,PstI.TP1248141,,"PTHR36051,PTHR36051:SF1",,,,,AT4G17540,,,LOC_Os10g41380,NA,expressed protein
2665,PstI.TP1250993,PF00067,"PTHR24286,PTHR24286:SF49",,,K10528,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT4G15440,"CYP74B2,HPL1",hydroperoxide lyase 1,LOC_Os02g02000,NA,"cytochrome P450, putative, expressed"
2666,PstI.TP1250993,PF06203,"PTHR31717,PTHR31717:SF3",,,,GO:0005515,AT3G21880,,B-box type zinc finger protein with CCT domain,LOC_Os02g01990,NA,"CCT motif family protein, expressed"
2671,PstI.TP1250993,,PTHR34892,,,,,AT1G16820,,vacuolar ATP synthase catalytic subunit-related / V-ATPase-related / vacuolar proton pump-related,LOC_Os08g02060,NA,expressed protein
2672,PstI.TP1251787,,PTHR31728,,,,,AT3G08780,,,LOC_Os07g35600,NA,expressed protein
2673,PstI.TP1251787,,"PTHR10383,PTHR10383:SF23",,,,GO:0016020,AT3G24460,,Serinc-domain containing serine and sphingolipid biosynthesis protein,LOC_Os01g08460,NA,"TMS membrane protein/tumour differentially expressed protein, putative, expressed"
2674,PstI.TP125419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2676,PstI.TP1254872,"PF01073,PF02866","PTHR11540,PTHR11540:SF14",,1.1.1.37,K00026,"GO:0055114,GO:0016616,GO:0006694,GO:0003854,GO:0019752",AT3G47520,MDH,malate dehydrogenase,LOC_Os08g33720,NA,"lactate/malate dehydrogenase, putative, expressed"
2677,PstI.TP1254872,,,,,,,,,,,NA,
2679,PstI.TP1254872,PF00445,"PTHR11240,PTHR11240:SF19",KOG1642,3.1.27.1,K01166,"GO:0033897,GO:0003723",AT2G02990,"ATRNS1,RNS1",ribonuclease 1,LOC_Os08g33710,NA,"ribonuclease T2 family domain containing protein, expressed"
2680,PstI.TP1254872,"PF14432,PF01535,PF13041",PTHR24015,,,,,AT3G47530,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os08g33700,NA,"pentatricopeptide, putative, expressed"
2687,PstI.TP1256552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2689,PstI.TP1257104,PF07714,"PTHR27001,PTHR27001:SF141",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT5G56890,,Protein kinase superfamily protein,LOC_Os01g09860,NA,"retrotransposon protein, putative, unclassified, expressed"
2691,PstI.TP1257104,,"PTHR32212,PTHR32212:SF87",,,,,AT2G39415,,F-box family protein,LOC_Os07g12560,NA,"OsFBX224 - F-box domain containing protein, expressed"
2692,PstI.TP1264009,PF02450,"PTHR11440,PTHR11440:SF50",KOG2369,2.3.1.43,K06129,"GO:0008374,GO:0006629",AT1G27480,,alpha/beta-Hydrolases superfamily protein,LOC_Os10g08026,NA,"lecithin:cholesterol acyltransferase, putative, expressed"
2693,PstI.TP1264009,PF10604,"PTHR33789,PTHR33789:SF2",,,,,AT2G25770,,Polyketide cyclase/dehydrase and lipid transport superfamily protein,LOC_Os01g10210,NA,"lachrymatory factor synthase, putative, expressed"
2694,PstI.TP1264009,,,,,,,,,,,NA,
2695,PstI.TP1264238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2696,PstI.TP1264238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2697,PstI.TP1264238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2698,PstI.TP1264238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2700,PstI.TP1268585,PF02219,"PTHR21091,PTHR21091:SF31",,1.5.1.20,K00297,"GO:0055114,GO:0006555,GO:0004489",AT2G44160,MTHFR2,methylenetetrahydrofolate reductase 2,LOC_Os03g60090,NA,"methylenetetrahydrofolate reductase, putative, expressed"
2701,PstI.TP1268585,PF01196,PTHR14413,KOG3280,,K02879,"GO:0006412,GO:0005840,GO:0005622,GO:0003735",AT3G54210,,Ribosomal protein L17 family protein,LOC_Os03g60100,NA,"50S ribosomal protein L17, putative, expressed"
2702,PstI.TP1268585,PF02365,"PTHR31719,PTHR31719:SF16",,,,"GO:0006355,GO:0003677",AT5G08790,"anac081,ATAF2",NAC (No Apical Meristem) domain transcriptional regulator superfamily protein,LOC_Os03g60080,NA,"NAC domain-containing protein 67, putative, expressed"
2704,PstI.TP12746,PF12776,"PTHR31704,PTHR31704:SF4",,,,,AT2G24960,,,LOC_Os04g38960,NA,expressed protein
2705,PstI.TP12746,PF14570,PTHR12603,,,,,AT3G48070,,RING/U-box superfamily protein,LOC_Os02g37030,NA,"protein binding protein, putative, expressed"
2706,PstI.TP12746,"PF13041,PF01535","PTHR24015,PTHR24015:SF474",,,,,AT4G39952,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os04g38980,NA,"pentatricopeptide, putative, expressed"
2707,PstI.TP12746,PF00171,"PTHR11699,PTHR11699:SF166",,1.2.1.8,K00130,"GO:0055114,GO:0016491,GO:0008152",AT3G48170,ALDH10A9,aldehyde dehydrogenase 10A9,LOC_Os04g39020,NA,"aldehyde dehydrogenase, putative, expressed"
2709,PstI.TP1276226,PF00847,PTHR31839,,,,"GO:0006355,GO:0003700",AT5G51990,"CBF4,DREB1D",C-repeat-binding factor 4,LOC_Os01g73770,NA,"dehydration-responsive element-binding protein, putative, expressed"
2710,PstI.TP1276226,,"PTHR36374,PTHR36374:SF1",,,,,AT3G52230,,,LOC_Os01g73780,NA,"chloroplast outer envelope 24 kD protein, putative, expressed"
2711,PstI.TP1276226,PF03435,"PTHR10366,PTHR10366:SF348",KOG1429,4.1.1.35,K12449,"GO:0055114,GO:0016491",AT1G08200,AXS2,UDP-D-apiose/UDP-D-xylose synthase 2,LOC_Os01g73790,NA,"NAD dependent epimerase/dehydratase family protein, putative, expressed"
2713,PstI.TP1278820,PF06075,"PTHR31928,PTHR31928:SF10",,,,,AT1G08760,,Plant protein of unknown function (DUF936),LOC_Os08g42870,NA,expressed protein
2714,PstI.TP1278820,PF07716,"PTHR13690,PTHR13690:SF80",,,,"GO:0043565,GO:0006355,GO:0003700",AT1G06070,,Basic-leucine zipper (bZIP) transcription factor family protein,LOC_Os09g34060,NA,"transcription factor RF2a, putative, expressed"
2715,PstI.TP1278820,"PF08263,PF00560","PTHR27004,PTHR27004:SF26",KOG0472,2.7.11.1,,GO:0005515,AT2G34930,,disease resistance family protein / LRR family protein,LOC_Os08g42840,NA,"leucine rich repeat protein, putative, expressed"
2716,PstI.TP1280524,PF00632,"PTHR11254,PTHR11254:SF73",,6.3.2.19,K10590,GO:0004842,AT4G38600,"KAK,UPL3",HEAT repeat ;HECT-domain (ubiquitin-transferase),LOC_Os02g01170,NA,"HECT-domain domain containing protein, expressed"
2717,PstI.TP1280524,PF00225,"PTHR24115,PTHR24115:SF480",KOG0240,3.6.4.4,K10401,"GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871",AT1G20060,,ATP binding microtubule motor family protein,LOC_Os02g01180,NA,"kinesin motor domain containing protein, putative, expressed"
2718,PstI.TP1280528,"PF08263,PF07714","PTHR27001,PTHR27001:SF210",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT2G16250,,Leucine-rich repeat protein kinase family protein,LOC_Os03g56250,NA,"LRR receptor-like protein kinase, putative, expressed"
2719,PstI.TP1280528,PF00253,"PTHR12010,PTHR12010:SF6",KOG3506,,K02980,"GO:0006412,GO:0005840,GO:0005622,GO:0003735",AT3G43980,,Ribosomal protein S14p/S29e family protein,LOC_Os12g32380,NA,"40S ribosomal protein S29, putative, expressed"
2720,PstI.TP1281273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2723,PstI.TP1281273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2724,PstI.TP1281273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2725,PstI.TP1281273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2726,PstI.TP1281273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2729,PstI.TP1284448,,,,,,,,,,,NA,
2730,PstI.TP1284448,,,,,,,,,,LOC_Os02g27840,NA,expressed protein
2731,PstI.TP1284448,PF00149,"PTHR16509,PTHR16509:SF2",,"3.6.1.16,3.6.1.53,3.6.1.13",K01517,GO:0016787,AT4G24730,,Calcineurin-like metallo-phosphoesterase superfamily protein,LOC_Os07g48840,NA,"Ser/Thr protein phosphatase family protein, putative, expressed"
2733,PstI.TP1288470,,,,,,,,,,,NA,
2734,PstI.TP1288470,,,,,,,,,,,NA,
2735,PstI.TP1288470,PF07738,"PTHR12911,PTHR12911:SF27",,,K19347,,AT5G04990,"ATSUN1,SUN1",SAD1/UNC-84 domain protein 1,LOC_Os01g16220,NA,"Sad1 / UNC-like C-terminal domain containing protein, putative, expressed"
2736,PstI.TP1288470,"PF01722,PF02657","PTHR12735,PTHR12735:SF20",KOG2313,,,,AT4G26500,"ATSUFE,CPSUFE,EMB1374,SUFE1",chloroplast sulfur E,LOC_Os09g09790,NA,"Fe-S metabolism associated domain containing protein, expressed"
2739,PstI.TP1289837,PF00814,"PTHR11735,PTHR11735:SF12",KOG2707,2.6.99.4,K01409,,AT2G45270,GCP1,glycoprotease 1,LOC_Os12g29990,NA,"O-sialoglycoprotein endopeptidase, putative, expressed"
2741,PstI.TP1289837,"PF08263,PF00560,PF13855,PF00069","PTHR27000,PTHR27000:SF148",KOG1187,2.7.11.1,K13415,"GO:0005515,GO:0006468,GO:0005524,GO:0004672",AT4G39400,"ATBRI1,BIN1,BRI1,CBB2,DWF2",Leucine-rich receptor-like protein kinase family protein,LOC_Os01g52050,NA,"systemin receptor SR160 precursor, putative, expressed"
2742,PstI.TP1294494,PF06803,PTHR22894,,,K15707,,AT1G72175,,RING/U-box protein with domain of unknown function (DUF 1232),LOC_Os03g62250,NA,"zinc finger, C3HC4 type domain containing protein, expressed"
2743,PstI.TP1294494,PF02536,"PTHR13068,PTHR13068:SF26",,,,"GO:0006355,GO:0005739,GO:0003690",AT4G09620,,Mitochondrial transcription termination factor family protein,LOC_Os03g62240,NA,expressed protein
2745,PstI.TP1294494,"PF00753,PF07521,PF10996,PF13299","PTHR11203,PTHR11203:SF5",,,K14402,"GO:0006379,GO:0006378,GO:0005847",AT5G23880,"ATCPSF100,CPSF100,EMB1265,ESP5",cleavage and polyadenylation specificity factor 100,LOC_Os09g39590,NA,"metallo-beta-lactamase, putative, expressed"
2747,PstI.TP1294907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2748,PstI.TP1295242,PF00004,"PTHR12172,PTHR12172:SF1",,,,"GO:0005524,GO:0007049,GO:0006281,GO:0005634",AT1G77620,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os03g15580,NA,"AT hook motif family protein, expressed"
2753,PstI.TP130505,PF01412,"PTHR23180,PTHR23180:SF293",KOG0704,,K12492,GO:0005096,AT2G37550,"AGD7,ASP1",ARF-GAP domain 7,LOC_Os03g17020,NA,"GTPase-activating protein, putative, expressed"
2754,PstI.TP130505,PF00076,"PTHR19965,PTHR19965:SF29",KOG0533,,K12881,GO:0003676,AT5G59950,,RNA-binding (RRM/RBD/RNP motifs) family protein,LOC_Os03g17010,NA,"RNA recognition motif containing protein, putative, expressed"
2756,PstI.TP130505,"PF00658,PF00076","PTHR24012,PTHR24012:SF455",KOG0123,,K13126,"GO:0003723,GO:0003676",AT2G36660,PAB7,poly(A) binding protein 7,LOC_Os03g17030,NA,"polyadenylate-binding protein, putative, expressed"
2757,PstI.TP130505,"PF01073,PF01370","PTHR10366,PTHR10366:SF385",,,K12450,"GO:0055114,GO:0016616,GO:0006694,GO:0003854,GO:0050662,GO:0003824",AT1G78570,"ATRHM1,RHM1,ROL1",rhamnose biosynthesis 1,LOC_Os03g17000,NA,"NAD dependent epimerase/dehydratase family domain containing protein, expressed"
2759,PstI.TP131297,,"PTHR31945,PTHR31945:SF18",,,,,AT2G40435,,,LOC_Os03g21970,NA,"basic helix-loop-helix domain containing protein, expressed"
2760,PstI.TP131297,PF01416,"PTHR11142,PTHR11142:SF9",KOG2553,5.4.99.12,K06173,"GO:0009982,GO:0009451,GO:0003723,GO:0001522",AT2G30320,,Pseudouridine synthase family protein,LOC_Os03g21980,NA,"tRNA pseudouridine synthase family protein, putative, expressed"
2761,PstI.TP131472,,,,,,,,,,,NA,
2762,PstI.TP131472,PF01916,PTHR11703,,2.5.1.46,K00809,GO:0008612,AT5G05920,"DHS,EDA22",deoxyhypusine synthase,LOC_Os03g52970,NA,"deoxyhypusine synthase, putative, expressed"
2763,PstI.TP131472,PF14009,"PTHR33052,PTHR33052:SF27",,,,,AT4G37240,,,LOC_Os03g52940,NA,expressed protein
2766,PstI.TP133700,"PF14416,PF13839","PTHR32285,PTHR32285:SF57",,,,,AT1G70230,TBL27,TRICHOME BIREFRINGENCE-LIKE 27,LOC_Os09g20850,NA,expressed protein
2767,PstI.TP133700,,"PTHR36039,PTHR36039:SF2",,,,,AT5G40190,,RNA ligase/cyclic nucleotide phosphodiesterase family protein,LOC_Os09g20860,NA,"calmodulin-binding protein, putative, expressed"
2769,PstI.TP133700,,,,,,,,,,,NA,
2770,PstI.TP133700,PF00069,"PTHR27001,PTHR27001:SF150",KOG1187,2.7.11.1,K04733,"GO:0006468,GO:0005524,GO:0004672",AT1G24030,,Protein kinase superfamily protein,LOC_Os09g20880,NA,"serine/threonine-protein kinase, putative, expressed"
2773,PstI.TP134017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2778,PstI.TP134743,PF01909,"PTHR23092,PTHR23092:SF19",,2.7.7.19,,GO:0016779,AT3G61690,,nucleotidyltransferases,LOC_Os03g11240,NA,"nucleotidyltransferase, putative, expressed"
2779,PstI.TP134743,,"PTHR35098,PTHR35098:SF1",,,,,AT2G03440,"ATNRP1,NRP1",nodulin-related protein 1,LOC_Os03g11220,NA,"keratin, type I cytoskeletal 9, putative, expressed"
2780,PstI.TP134743,,PTHR36730,,,,,AT2G03420,,,LOC_Os03g11230,NA,expressed protein
2781,PstI.TP134743,,"PTHR16007,PTHR16007:SF29",,,,,AT1G55230,,Family of unknown function (DUF716) ,LOC_Os09g27260,NA,"plant viral response family protein, putative, expressed"
2782,PstI.TP134743,PF04398,"PTHR31676,PTHR31676:SF5",,,,,AT2G03350,,"Protein of unknown function, DUF538",LOC_Os03g11210,NA,"DUF538 domain containing protein, putative, expressed"
2783,PstI.TP135889,PF01501,"PTHR32116,PTHR32116:SF2",,2.4.1.43,K13648,"GO:0016757,GO:0047262",AT5G15470,GAUT14,galacturonosyltransferase 14,LOC_Os03g11330,NA,"glycosyl transferase 8 domain containing protein, putative, expressed"
2784,PstI.TP135889,,,,,,,,,,,NA,
2785,PstI.TP135889,PF03763,"PTHR31471,PTHR31471:SF5",,,,,AT1G13920,,Remorin family protein,LOC_Os03g11300,NA,expressed protein
2788,PstI.TP135889,PF03662,"PTHR14363,PTHR14363:SF19",,"3.2.1.31,3.2.1.167",K07964,"GO:0016798,GO:0016020",AT5G61250,"AtGUS1,GUS1",glucuronidase 1,LOC_Os03g11320,NA,"heparanase-like protein precursor, putative, expressed"
2789,PstI.TP135889,"PF13812,PF01535,PF13041","PTHR24015,PTHR24015:SF700",,,,,AT3G29290,emb2076,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os03g11310,NA,"PPR repeat domain containing protein, putative, expressed"
2790,PstI.TP135889,PF07839,"PTHR33349,PTHR33349:SF3",,,,GO:0005516,AT5G39380,,Plant calmodulin-binding protein-related,LOC_Os03g11290,NA,expressed protein
2793,PstI.TP136422,"PF08263,PF13855","PTHR27000,PTHR27000:SF30",,2.7.11.1,,GO:0005515,AT5G20480,EFR,EF-TU receptor,LOC_Os11g47290,NA,"receptor kinase, putative, expressed"
2794,PstI.TP136422,PF00069,"PTHR27000,PTHR27000:SF30",,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672",AT2G24130,,Leucine-rich receptor-like protein kinase family protein,LOC_Os01g49910,NA,expressed protein
2795,PstI.TP136422,PF00291,"PTHR10314,PTHR10314:SF121",,4.2.3.1,K01733,,AT4G29840,"MTO2,TS",Pyridoxal-5\'-phosphate-dependent enzyme family protein,LOC_Os01g49890,NA,"threonine synthase, chloroplast precursor, putative, expressed"
2796,PstI.TP136422,PF01195,"PTHR17224,PTHR17224:SF5",KOG2255,3.1.1.29,K01056,GO:0004045,AT1G18440,,Peptidyl-tRNA hydrolase family protein,LOC_Os01g49900,NA,"peptidyl-tRNA hydrolase, mitochondrial precursor protein, putative, expressed"
2797,PstI.TP136460,"PF12022,PF06148",PTHR12961,,,,"GO:0016020,GO:0015031,GO:0007030",AT4G24840,,,LOC_Os03g63250,NA,"brefeldin A-sensitive Golgi protein-like, putative, expressed"
2799,PstI.TP136460,,"PTHR12701,PTHR12701:SF13",KOG1962,,K14009,"GO:0016021,GO:0006886,GO:0005783",AT5G48660,,B-cell receptor-associated protein 31-like ,LOC_Os03g63110,NA,"prefoldin, putative, expressed"
2800,PstI.TP136460,PF05627,"PTHR33159,PTHR33159:SF7",,,K13456,,AT3G25070,RIN4,RPM1 interacting protein 4,LOC_Os03g63140,NA,"nitrate-induced NOI protein, expressed"
2803,PstI.TP136460,PF05856,PTHR22629,KOG1876,,K05755,"GO:0034314,GO:0030041,GO:0015629,GO:0005885",AT4G14147,ARPC4,protein binding,LOC_Os03g63090,NA,"actin-related protein 2/3 complex subunit 4, putative, expressed"
2804,PstI.TP136460,,"PTHR33977,PTHR33977:SF2",,,,,AT1G60560,,SWIM zinc finger family protein,LOC_Os09g13880,NA,"SWIM zinc finger family protein, putative, expressed"
2805,PstI.TP136460,PF03800,PTHR21650,KOG4438,,,"GO:0007067,GO:0000775",AT1G61000,,,LOC_Os03g38010,NA,"nuf2 family protein, expressed"
2806,PstI.TP13814,,,,,,,,,,,NA,
2807,PstI.TP13843,PF07011,"PTHR33469,PTHR33469:SF4",,,,,AT1G72630,ELF4-L2,ELF4-like 2,LOC_Os08g27860,NA,"EARLY flowering protein, putative, expressed"
2808,PstI.TP13843,,"PTHR31354,PTHR31354:SF2",,,,,AT1G70160,,,LOC_Os09g22440,NA,expressed protein
2810,PstI.TP13843,,,,,,,,,,,NA,
2811,PstI.TP13843,"PF10497,PF02373","PTHR12549,PTHR12549:SF15",,,K15601,,AT1G11950,,Transcription factor jumonji (jmjC) domain-containing protein,LOC_Os03g31594,NA,"jmjC domain containing protein, expressed"
2812,PstI.TP138495,PF08224,PTHR33377,,,,,,,,LOC_Os04g01560,NA,expressed protein
2813,PstI.TP138495,,,,,,,,,,,NA,
2817,PstI.TP141528,PF00135,"PTHR23024,PTHR23024:SF137",KOG1515,"4.2.99.22,3.1.1.1",,,AT1G47480,,alpha/beta-Hydrolases superfamily protein,LOC_Os09g28720,NA,"alpha/beta hydrolase fold, putative, expressed"
2818,PstI.TP141528,,,,,,,,,,,NA,
2819,PstI.TP141528,PF00135,"PTHR23024,PTHR23024:SF164",KOG1515,3.1.1.1,,,AT1G47480,,alpha/beta-Hydrolases superfamily protein,LOC_Os09g28740,NA,"gibberellin receptor GID1L2, putative, expressed"
2822,PstI.TP141528,PF00135,"PTHR23024,PTHR23024:SF192",KOG1515,4.2.99.22,,,AT1G47480,,alpha/beta-Hydrolases superfamily protein,LOC_Os09g28280,NA,"gibberellin receptor GID1L2, putative, expressed"
2823,PstI.TP141528,PF12695,"PTHR23024,PTHR23024:SF171",KOG1515,"4.2.99.22,3.1.1.1",,,AT1G47480,,alpha/beta-Hydrolases superfamily protein,LOC_Os09g28730,NA,"gibberellin receptor GID1L2, putative, expressed"
2824,PstI.TP142395,PF00400,"PTHR22847,PTHR22847:SF480",KOG0266,,,GO:0005515,AT1G80490,TPR1,TOPLESS-related 1,LOC_Os03g14980,NA,"lissencephaly type-1-like homology motif, putative, expressed"
2826,PstI.TP142395,PF01734,"PTHR32241,PTHR32241:SF3",KOG0513,,,GO:0006629,AT3G54950,"PLA IIIA,PLP7",patatin-like protein 6,LOC_Os03g14950,NA,"PLA IIIA/PLP7, putative, expressed"
2827,PstI.TP143189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2830,PstI.TP143189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2832,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2833,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2835,PstI.TP14467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
