"","SNP","Chromosome","Position","P.value","MAF","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE","QTN.effect","LOD.score","Genotype.for.code.1","Var_error","Var_phen..total.","X","P.value.1"
"5078","PstI.TP789647",3,69354547,4.58986593021999e-05,0.3648,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","ISIS EM-BLASSO","OWA18",3.4706,0.0516,3.607,"A",0.0378,0.0437,NA,5e-05
"5079","PstI.TP459121",1,78162835,9.35836543583529e-09,0.0708,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","mrMLM","OWA19",0,-0.0212,7.1596,"C",2e-04,3e-04,NA,9e-09
"5080","PstI.TP268085",2,64265265,1.54205548347047e-07,0.05,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","mrMLM","OWA19",42.4319,0.0215,5.9796,"A",NA,NA,NA,2e-07
"5081","PstI.TP166492",6,2200069,2.51825671104259e-05,0.1208,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","mrMLM","OWA19",21.2283,0.0113,3.8547,"A",NA,NA,NA,3e-05
"5082","PstI.TP982120",2,21428233,0.000126328110380736,0.0328,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","FASTmrMLM","OWA19",0.0015,1e-04,3.1913,"A",2e-04,3e-04,NA,1e-04
"5083","PstI.TP459121",1,78162835,2.76248545463158e-06,0.0697,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","FASTmrEMMA","OWA19",6.5144,-0.0242,4.7719,"C",1e-04,3e-04,NA,3e-06
"5084","PstI.TP166492",6,2200069,5.88437037025876e-05,0.1189,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","FASTmrEMMA","OWA19",0.053,0.0016,3.5048,"A",NA,NA,NA,6e-05
"5085","PstI.TP166492",6,2200069,9.3389919274143e-08,0.1189,NA,NA,NA,NA,NA,NA,"O122+2646","PS_N","mrMLMM","ISIS EM-BLASSO","OWA19",23.3515,0.0095,6.1903,"A",2e-04,3e-04,NA,9e-08
"5095","PstI.TP459121",1,78162835,1.40465176371847e-07,NA,NA,NA,NA,NA,NA,NA,"O102+4322","PCA=3","rrBLUP","rrBLUP","OWA19",25.1217741953021,NA,NA,NA,NA,NA,259,1e-07
"5096","PstI.TP298201",6,1375822,3.59539415307062e-05,NA,NA,NA,NA,NA,NA,NA,"O112+3450","PCA=3","rrBLUP","rrBLUP","OWA19",11.5498917111145,NA,NA,NA,NA,NA,261,4e-05
"5097","PstI.TP459121",1,78162835,7.9075727053493e-08,NA,NA,NA,NA,NA,NA,NA,"O112+3450","PCA=3","rrBLUP","rrBLUP","OWA19",23.9756637603247,NA,NA,NA,NA,NA,260,8e-08
"5098","PstI.TP1200270",2,13518060,8.40629508041297e-05,NA,NA,NA,NA,NA,NA,NA,"O122+2646","PCA=3","rrBLUP","rrBLUP","OWA19",13.3295918838533,NA,NA,NA,NA,NA,263,8e-05
"5099","PstI.TP298201",6,1375822,3.12708039797555e-05,NA,NA,NA,NA,NA,NA,NA,"O122+2646","PCA=3","rrBLUP","rrBLUP","OWA19",10.0735512608626,NA,NA,NA,NA,NA,264,3e-05
"5100","PstI.TP459121",1,78162835,9.31652270644639e-07,NA,NA,NA,NA,NA,NA,NA,"O122+2646","PCA=3","rrBLUP","rrBLUP","OWA19",19.1895670866143,NA,NA,NA,NA,NA,262,9e-07
"5160","NsiI.TP208625",8,50606712,6.98726968130272e-07,NA,NA,NA,NA,NA,NA,NA,"122+35256im","PCA=3","rrBLUP","rrBLUP","OWA19",20.0441153778345,NA,NA,NA,NA,NA,256,7e-07
"5200","NsiI.TP460633",4,62266318,4.896483077604e-06,NA,NA,NA,NA,NA,NA,NA,"122+35256im","PCA=3","rrBLUP","rrBLUP","OWA19",15.7579345004882,NA,NA,NA,NA,NA,255,5e-06
"5295","PstI.TP334601",11,2644,4.74067626739745e-07,NA,NA,NA,NA,NA,NA,NA,"122+35256im","PCA=3","rrBLUP","rrBLUP","OWA19",15.1382870008386,NA,NA,NA,NA,NA,257,5e-07
"5299","PstI.TP373577",11,2924,5.96819571133801e-06,NA,NA,NA,NA,NA,NA,NA,"122+35256im","PCA=3","rrBLUP","rrBLUP","OWA19",12.2023532070931,NA,NA,NA,NA,NA,258,6e-06
"5309","PstI.TP459121",1,78162835,3.27071704757347e-06,NA,NA,NA,NA,NA,NA,NA,"122+35256im","PCA=3","rrBLUP","rrBLUP","OWA19",19.1895670866143,NA,NA,NA,NA,NA,254,3e-06
"5412","NsiI.TP101365",10,58707662,4.0206780832426e-06,0.362745098039216,NA,NA,NA,NA,0.00555001697767057,0.00377005581605381,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",3.18700309651387,NA,NA,NA,NA,NA,68,4e-06
"5413","NsiI.TP756808",10,59848770,1.74960531194733e-05,0.279411764705882,NA,NA,NA,NA,0.00531141382088737,0.00984327948501568,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",4.42412377649219,NA,NA,NA,NA,NA,69,2e-05
"5414","PstI.TP124945",5,41255313,1.50323714323932e-05,0.137254901960784,NA,NA,NA,NA,-0.00968313466703176,0.00984327948501568,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",16.3844681400376,NA,NA,NA,NA,NA,67,2e-05
"5415","PstI.TP1250222",11,8799,2.29252649521529e-08,0.053921568627451,NA,NA,NA,NA,-0.0139135917937616,6.44887703104061e-05,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",10.1752226066053,NA,NA,NA,NA,NA,70,2e-08
"5416","PstI.TP459121",1,78162835,3.43441526879881e-07,0.0735294117647059,NA,NA,NA,NA,-0.0155977124375227,0.000483050507556553,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",25.1217741953021,NA,NA,NA,NA,NA,64,3e-07
"5417","PstI.TP483920",2,71246128,4.94691349609315e-05,0.0686274509803922,NA,NA,NA,NA,-0.00935992810780608,0.0231927794408501,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",4.38184390689935,NA,NA,NA,NA,NA,66,5e-05
"5418","PstI.TP49139",1,80477608,0.000102049795475105,0.053921568627451,NA,NA,NA,NA,-0.00805656397609597,0.0410094392387815,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19",5.98813818018355,NA,NA,NA,NA,NA,65,1e-04
"5419","NsiI.TP640755",2,16850781,0.000110624285956229,0.0580357142857143,NA,NA,NA,NA,-0.0138135008653207,0.0344199564018095,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",7.0745836919567,NA,NA,NA,NA,NA,73,1e-04
"5420","PstI.TP1151255",1,77213117,5.94517237499317e-08,0.0625,NA,NA,NA,NA,-0.0197834976969984,5.76202023116867e-05,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",1.54150087268734,NA,NA,NA,NA,NA,71,6e-08
"5421","PstI.TP1250222",11,8799,1.63611097403305e-09,0.0535714285714286,NA,NA,NA,NA,-0.0149103141025806,3.56344970144398e-06,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",9.82185473188469,NA,NA,NA,NA,NA,77,2e-09
"5422","PstI.TP298201",6,1375822,9.38799550068759e-06,0.09375,NA,NA,NA,NA,0.0103697807647706,0.00408941084009952,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",11.5498917111145,NA,NA,NA,NA,NA,75,9e-06
"5423","PstI.TP459121",1,78162835,7.93666698508081e-08,0.0714285714285714,NA,NA,NA,NA,-0.0149655981424277,5.76202023116867e-05,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",23.9756637603247,NA,NA,NA,NA,NA,72,8e-08
"5424","PstI.TP483920",2,71246128,1.83320774256806e-07,0.0714285714285714,NA,NA,NA,NA,-0.0142607969831241,9.98181615828309e-05,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",3.81092064988201,NA,NA,NA,NA,NA,74,2e-07
"5425","PstI.TP774948",9,243415,6.22809919713845e-05,0.0714285714285714,NA,NA,NA,NA,-0.0110241814222268,0.0226080000856126,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19",3.89996258583172,NA,NA,NA,NA,NA,76,6e-05
"5426","NsiI.TP360999",1,10465743,1.22971409016107e-05,0.0860655737704918,NA,NA,NA,NA,0.0161545222152434,0.00681671510645953,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",0.00491730837298002,NA,NA,NA,NA,NA,78,1e-05
"5427","PstI.TP1084308",4,42752899,4.50843965686662e-05,0.0737704918032787,NA,NA,NA,NA,0.0111812698855077,0.0149950702987384,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",1.45029208575749,NA,NA,NA,NA,NA,83,5e-05
"5428","PstI.TP1200270",2,13518060,3.76833397577726e-05,0.110655737704918,NA,NA,NA,NA,-0.0104277845383547,0.0149950702987384,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",13.3295918838533,NA,NA,NA,NA,NA,80,4e-05
"5429","PstI.TP166492",6,2200069,7.25420763678762e-05,0.118852459016393,NA,NA,NA,NA,0.00898567622890457,0.0176197007451148,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",7.2979746250269,NA,NA,NA,NA,NA,84,7e-05
"5430","PstI.TP268085",2,64265265,2.42549712161821e-09,0.0532786885245902,NA,NA,NA,NA,0.0229307611733105,4.03360171325108e-06,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",15.3505933860243,NA,NA,NA,NA,NA,81,2e-09
"5431","PstI.TP459121",1,78162835,7.69546147050851e-08,0.069672131147541,NA,NA,NA,NA,-0.0179287923159979,6.39877621272783e-05,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",19.1895670866143,NA,NA,NA,NA,NA,79,8e-08
"5432","PstI.TP770204",3,67523376,7.41659081273623e-05,0.0614754098360656,NA,NA,NA,NA,0.00918614429657248,0.0176197007451148,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19",3.17559544425163,NA,NA,NA,NA,NA,82,7e-05
"6159","NsiI.TP195995",2,68227771,8.44806915578865e-06,0.401960784313726,NA,NA,NA,NA,0.00564886264571232,0.00396073642253891,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",7.55018235842625,NA,NA,NA,NA,NA,735,8e-06
"6160","NsiI.TP440500",9,59299455,3.14471918576572e-05,0.0588235294117647,NA,NA,NA,NA,-0.0116487867299472,0.0110576188369487,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",9.97028434565623,NA,NA,NA,NA,NA,739,3e-05
"6161","PstI.TP124945",5,41255313,6.80660677519726e-06,0.137254901960784,NA,NA,NA,NA,-0.0104342688842479,0.00396073642253891,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",16.3844681400376,NA,NA,NA,NA,NA,736,7e-06
"6162","PstI.TP1250222",11,8799,7.45685836285552e-06,0.053921568627451,NA,NA,NA,NA,-0.0115803252125977,0.00396073642253891,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",10.1752226066053,NA,NA,NA,NA,NA,740,7e-06
"6163","PstI.TP298201",6,1375822,2.33653971149637e-05,0.0980392156862745,NA,NA,NA,NA,0.00984498901526323,0.00938955172634184,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",12.0232735297659,NA,NA,NA,NA,NA,737,2e-05
"6164","PstI.TP419801",8,1077354,4.33590104605983e-06,0.235294117647059,NA,NA,NA,NA,0.00915596808492098,0.00396073642253891,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",3.02139261623651,NA,NA,NA,NA,NA,738,4e-06
"6165","PstI.TP459121",1,78162835,6.06095065660049e-06,0.0735294117647059,NA,NA,NA,NA,-0.0140285658573417,0.00396073642253891,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",25.1217741953021,NA,NA,NA,NA,NA,734,6e-06
"6166","PstI.TP678255",1,67745947,3.46341832877438e-07,0.264705882352941,NA,NA,NA,NA,-0.00831889452818247,0.000974259575884233,"O102+4322","PS_N","FarmCPU","FarmCPU","OWA19",11.676276770621,NA,NA,NA,NA,NA,733,3e-07
"6167","PstI.TP1098875",4,67156223,4.00220557743165e-05,0.0535714285714286,NA,NA,NA,NA,0.0152002594846739,0.0124525767823516,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",1.36632448057702,NA,NA,NA,NA,NA,751,4e-05
"6168","PstI.TP117081",2,45986549,1.56078137598707e-06,0.0803571428571429,NA,NA,NA,NA,0.0147958120526552,0.00140053073117993,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",8.77808282440471,NA,NA,NA,NA,NA,748,2e-06
"6169","PstI.TP1250222",11,8799,1.92910569033048e-06,0.0535714285714286,NA,NA,NA,NA,-0.0107396666359405,0.00140053073117993,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",9.82185473188469,NA,NA,NA,NA,NA,753,2e-06
"6170","PstI.TP198015",3,67910785,6.76405499111814e-07,0.0625,NA,NA,NA,NA,0.0160458422503369,0.00140053073117993,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",1.26307473258535,NA,NA,NA,NA,NA,749,7e-07
"6171","PstI.TP298201",6,1375822,4.96420979158831e-06,0.09375,NA,NA,NA,NA,0.00905383605714016,0.00180200815434656,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",11.5498917111145,NA,NA,NA,NA,NA,752,5e-06
"6172","PstI.TP459121",1,78162835,3.55784044735187e-06,0.0714285714285714,NA,NA,NA,NA,-0.0119378304590669,0.00154979529886647,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",23.9756637603247,NA,NA,NA,NA,NA,747,4e-06
"6173","PstI.TP982139",4,41445278,2.69640995663223e-06,0.0580357142857143,NA,NA,NA,NA,0.0125265975310875,0.00146819522138625,"O112+3450","PS_N","FarmCPU","FarmCPU","OWA19",3.17577285736136,NA,NA,NA,NA,NA,750,3e-06
"6174","PstI.TP1014707",1,60949616,1.47486623089336e-05,0.192622950819672,NA,NA,NA,NA,0.00656311446382241,0.00490540508395132,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",1.53012931741923,NA,NA,NA,NA,NA,762,1e-05
"6175","PstI.TP1151255",1,77213117,6.69029751075408e-07,0.0573770491803278,NA,NA,NA,NA,-0.0177141562489323,0.000370865492012801,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",1.41418164217221,NA,NA,NA,NA,NA,764,7e-07
"6176","PstI.TP1164091",6,56319647,0.00022678965819475,0.286885245901639,NA,NA,NA,NA,0.00619782459982433,0.0448604110558921,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",2.70988770851028,NA,NA,NA,NA,NA,769,2e-04
"6177","PstI.TP1200270",2,13518060,4.85825155397088e-08,0.110655737704918,NA,NA,NA,NA,-0.0122941921934104,8.07927233425357e-05,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",13.3295918838533,NA,NA,NA,NA,NA,765,5e-08
"6178","PstI.TP166492",6,2200069,1.38876440370795e-07,0.118852459016393,NA,NA,NA,NA,0.0113861718351213,0.000115475760168316,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",7.2979746250269,NA,NA,NA,NA,NA,768,1e-07
"6179","PstI.TP268085",2,64265265,5.57508164391612e-05,0.0532786885245902,NA,NA,NA,NA,0.0109528578695767,0.0154522679563875,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",15.3505933860243,NA,NA,NA,NA,NA,766,6e-05
"6180","PstI.TP425356",1,569039,0.000290011709995147,0.0532786885245902,NA,NA,NA,NA,0.00881507540262506,0.048228947372193,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",1.29278766615424,NA,NA,NA,NA,NA,761,3e-04
"6181","PstI.TP65271",3,2656013,0.00024278033644199,0.135245901639344,NA,NA,NA,NA,-0.00519452559960687,0.0448604110558921,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",7.4845504340515,NA,NA,NA,NA,NA,767,2e-04
"6182","PstI.TP678255",1,67745947,9.02200872483242e-05,0.262295081967213,NA,NA,NA,NA,-0.00453301074425869,0.0214337150134233,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",7.95776725791296,NA,NA,NA,NA,NA,763,9e-05
"6183","PstI.TP836173",11,5793,1.60323018660474e-06,0.180327868852459,NA,NA,NA,NA,0.00682200099239411,0.000666542950080921,"O122+2646","PS_N","FarmCPU","FarmCPU","OWA19",7.678704617903,NA,NA,NA,NA,NA,770,2e-06
"6315","PstI.TP166492",6,2200069,3.97254827994171e-05,0.118852459016393,112,NA,NA,0.0220211592984769,NA,0.0220211592984769,"O122+2646","PS_Y","GAPIT","CMLM+SUPER","OWA19",7.2979746250269,NA,NA,NA,NA,NA,7840,4e-05
"6316","PstI.TP268085",2,64265265,2.31378818338308e-05,0.0532786885245902,112,NA,NA,0.0192391487448303,NA,0.0192391487448303,"O122+2646","PS_Y","GAPIT","CMLM+SUPER","OWA19",15.3505933860243,NA,NA,NA,NA,NA,7839,2e-05
"6317","PstI.TP459121",1,78162835,4.01205044677376e-07,0.069672131147541,112,NA,NA,0.000667203989298477,NA,0.000667203989298476,"O122+2646","PS_Y","GAPIT","CMLM+SUPER","OWA19",19.1895670866143,NA,NA,NA,NA,NA,7838,4e-07
"6318","PstI.TP459121",1,78162835,1.95011791225914e-05,0.0714285714285714,102,NA,NA,0.0424735681290041,NA,0.0424735681290041,"O112+3450","PS_Y","GAPIT","CMLM+SUPER","OWA19",23.9756637603247,NA,NA,NA,NA,NA,7836,2e-05
"6499","NsiI.TP159883",11,10892,1.81250563136356e-06,0.294540303814486,112,NA,NA,0.0239966683064379,NA,0.0239966683064379,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA18",0.402805103562282,NA,NA,NA,NA,NA,2816,2e-06
"6502","NsiI.TP164112",2,75774037,1.04397052870878e-05,0.0587458932154452,112,NA,NA,0.039490422328114,NA,0.039490422328114,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.00716100311510206,NA,NA,NA,NA,NA,2824,1e-05
"6547","NsiI.TP191037",11,11248,1.43926807808949e-05,0.119076890831059,112,NA,NA,0.0447332515312445,NA,0.0447332515312445,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.0605324563028724,NA,NA,NA,NA,NA,2825,1e-05
"6659","NsiI.TP241500",1,68301853,2.26191450150057e-05,0.110194392944901,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.681762640013006,NA,NA,NA,NA,NA,2829,2e-05
"6749","NsiI.TP299143",10,7147645,1.61552184751156e-06,0.16248276590293,112,NA,NA,0.0239966683064379,NA,0.0239966683064379,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA18",0.494916680939481,NA,NA,NA,NA,NA,2815,2e-06
"6958","NsiI.TP422411",3,70832262,2.64805222125237e-06,0.056576111140859,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.821332693226089,NA,NA,NA,NA,NA,2819,3e-06
"6960","NsiI.TP422621",11,13856,3.3969674240338e-06,0.0828685616621332,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.559286678764102,NA,NA,NA,NA,NA,2820,3e-06
"7164","NsiI.TP476303",11,14864,3.44974273954837e-06,0.078063740672985,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.302705187682233,NA,NA,NA,NA,NA,2821,3e-06
"7183","NsiI.TP486731",2,76163097,2.07889004584532e-05,0.0790502523821679,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.0419007668932063,NA,NA,NA,NA,NA,2828,2e-05
"7680","NsiI.TP732055",11,18109,5.24570035085845e-06,0.050142847635269,112,NA,NA,0.0277801799180762,NA,0.0277801799180762,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.165110884913947,NA,NA,NA,NA,NA,2822,5e-06
"7696","NsiI.TP744543",11,18252,9.33879946451724e-07,0.0965134195673049,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.103715702409744,NA,NA,NA,NA,NA,2818,9e-07
"8231","PstI.TP1275729",11,8987,1.93903395430218e-05,0.0628100972815517,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.95210006528015,NA,NA,NA,NA,NA,2827,2e-05
"8243","PstI.TP1286748",11,9066,5.10374700783699e-06,0.0697866036429828,112,NA,NA,0.0450473723401719,NA,0.0450473723401719,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA18",0.290191372473623,NA,NA,NA,NA,NA,2817,5e-06
"8271","PstI.TP141494",11,1179,8.96441496830081e-06,0.246397716326819,112,NA,NA,0.039490422328114,NA,0.039490422328114,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",0.502889166829372,NA,NA,NA,NA,NA,2823,9e-06
"8398","PstI.TP207713",3,3436667,1.52044738767023e-05,0.0635419589035913,112,NA,NA,0.0447332515312445,NA,0.0447332515312445,"122+35256im","PS_Y","GAPIT","CMLM+SUPER","OWA19",5.57057806247039,NA,NA,NA,NA,NA,2826,2e-05
"9556","PstI.TP459121",1,78162835,1.95011791225914e-05,0.0714285714285714,102,NA,NA,0.0424735681290041,NA,0.0424735681290041,"O112+3450","PS_Y","GAPIT","MLM+SUPER","OWA19",23.9756637603247,NA,NA,NA,NA,NA,7837,2e-05
"9557","PstI.TP166492",6,2200069,3.97254827994171e-05,0.118852459016393,112,NA,NA,0.0220211592984769,NA,0.0220211592984769,"O122+2646","PS_Y","GAPIT","MLM+SUPER","OWA19",7.2979746250269,NA,NA,NA,NA,NA,7843,4e-05
"9558","PstI.TP268085",2,64265265,2.31378818338308e-05,0.0532786885245902,112,NA,NA,0.0192391487448303,NA,0.0192391487448303,"O122+2646","PS_Y","GAPIT","MLM+SUPER","OWA19",15.3505933860243,NA,NA,NA,NA,NA,7842,2e-05
"9559","PstI.TP459121",1,78162835,4.01205044677376e-07,0.069672131147541,112,NA,NA,0.000667203989298477,NA,0.000667203989298476,"O122+2646","PS_Y","GAPIT","MLM+SUPER","OWA19",19.1895670866143,NA,NA,NA,NA,NA,7841,4e-07
"9802","NsiI.TP159883",11,10892,1.81250563136356e-06,0.294540303814486,112,NA,NA,0.0239966683064379,NA,0.0239966683064379,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA18",0.402805103562282,NA,NA,NA,NA,NA,7011,2e-06
"9803","NsiI.TP164112",2,75774037,1.04397052870878e-05,0.0587458932154452,112,NA,NA,0.039490422328114,NA,0.039490422328114,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.00716100311510206,NA,NA,NA,NA,NA,7019,1e-05
"9868","NsiI.TP191037",11,11248,1.43926807808949e-05,0.119076890831059,112,NA,NA,0.0447332515312445,NA,0.0447332515312445,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.0605324563028724,NA,NA,NA,NA,NA,7020,1e-05
"10031","NsiI.TP241500",1,68301853,2.26191450150057e-05,0.110194392944901,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.681762640013006,NA,NA,NA,NA,NA,7024,2e-05
"10155","NsiI.TP299143",10,7147645,1.61552184751156e-06,0.16248276590293,112,NA,NA,0.0239966683064379,NA,0.0239966683064379,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA18",0.494916680939481,NA,NA,NA,NA,NA,7010,2e-06
"10425","NsiI.TP422411",3,70832262,2.64805222125237e-06,0.056576111140859,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.821332693226089,NA,NA,NA,NA,NA,7014,3e-06
"10426","NsiI.TP422621",11,13856,3.3969674240338e-06,0.0828685616621332,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.559286678764102,NA,NA,NA,NA,NA,7015,3e-06
"10720","NsiI.TP476303",11,14864,3.44974273954837e-06,0.078063740672985,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.302705187682233,NA,NA,NA,NA,NA,7016,3e-06
"10744","NsiI.TP486731",2,76163097,2.07889004584532e-05,0.0790502523821679,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.0419007668932063,NA,NA,NA,NA,NA,7023,2e-05
"11449","NsiI.TP732055",11,18109,5.24570035085845e-06,0.050142847635269,112,NA,NA,0.0277801799180762,NA,0.0277801799180762,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.165110884913947,NA,NA,NA,NA,NA,7017,5e-06
"11478","NsiI.TP744543",11,18252,9.33879946451724e-07,0.0965134195673049,112,NA,NA,0.0228364345001253,NA,0.0228364345001253,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.103715702409744,NA,NA,NA,NA,NA,7013,9e-07
"12258","PstI.TP1275729",11,8987,1.93903395430218e-05,0.0628100972815517,112,NA,NA,0.0499110284043614,NA,0.0499110284043613,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.95210006528015,NA,NA,NA,NA,NA,7022,2e-05
"12276","PstI.TP1286748",11,9066,5.10374700783699e-06,0.0697866036429828,112,NA,NA,0.0450473723401719,NA,0.0450473723401719,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA18",0.290191372473623,NA,NA,NA,NA,NA,7012,5e-06
"12317","PstI.TP141494",11,1179,8.96441496830081e-06,0.246397716326819,112,NA,NA,0.039490422328114,NA,0.039490422328114,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",0.502889166829372,NA,NA,NA,NA,NA,7018,9e-06
"12477","PstI.TP207713",3,3436667,1.52044738767023e-05,0.0635419589035913,112,NA,NA,0.0447332515312445,NA,0.0447332515312445,"122+35256im","PS_Y","GAPIT","MLM+SUPER","OWA19",5.57057806247039,NA,NA,NA,NA,NA,7021,2e-05
