"","SB","GI"
"23105","Sb03g039620","Sobic.003G353800"
"23116","Sb03g039710","Sobic.003G354900"
"23125","Sb03g039800","Sobic.003G355800"
"23144","Sb03g039990","Sobic.003G357800"
"23151","Sb03g040060","Sobic.003G358600"
"23183","Sb03g040350","Sobic.003G361700"
"23198","Sb03g040490","Sobic.003G363200"
"23200","Sb03g040510","Sobic.003G363400"
"23209","Sb03g040590","Sobic.003G364200"
"23222","Sb03g040720","Sobic.003G365500"
"23229","Sb03g040790","Sobic.003G366200"
"23234","Sb03g040840","Sobic.003G366700"
"23235","Sb03g040841","null"
"23255","Sb03g041000","Sobic.003G368600"
"23287","Sb03g041200","Sobic.003G371100"
"23288","Sb03g041210","Sobic.003G371200"
"23289","Sb03g041220","Sobic.003G371400"
"23298","Sb03g041300","Sobic.003G372400"
"23330","Sb03g041610","Sobic.003G376200"
"23400","Sb03g042240","Sobic.003G382800"
"23409","Sb03g042320","Sobic.003G383800"
"23420","Sb03g042400","Sobic.003G384900"
"23421","Sb03g042410","Sobic.003G385000"
"23457","Sb03g042740","Sobic.003G389700"
"23489","Sb03g043020","Sobic.003G392700"
"23496","Sb03g043090","Sobic.003G393400"
"23497","Sb03g043100","Sobic.003G393500"
"23509","Sb03g043220","Sobic.003G395000"
"23533","Sb03g043400","Sobic.003G397200"
"23534","Sb03g043410","Sobic.003G397400"
"23535","Sb03g043420","Sobic.003G397500"
"23536","Sb03g043430","Sobic.003G397600"
"23560","Sb03g043660","Sobic.003G400200"
"23562","Sb03g043680","Sobic.003G400400"
"23569","Sb03g043720","Sobic.003G400900"
"23589","Sb03g043900","Sobic.003G403300"
"23595","Sb03g043960","Sobic.003G403900"
"23602","Sb03g044020","Sobic.003G404600"
"23604","Sb03g044040","Sobic.003G404900"
"23605","Sb03g044050","Sobic.003G405000"
"23653","Sb03g044485","Sobic.003G410300"
"23685","Sb03g044780","Sobic.003G413600"
"23686","Sb03g044790","Sobic.003G413700"
"23695","Sb03g044870","Sobic.003G414700"
"23697","Sb03g044890","Sobic.003G414900"
"23718","Sb03g045090","Sobic.003G417200"
"23741","Sb03g045270","Sobic.003G419400"
"23757","Sb03g045410","Sobic.003G421100"
"23762","Sb03g045460","Sobic.003G421700"
"23765","Sb03g045490","Sobic.003G422000"
"23798","Sb03g045790","null"
"23800","Sb03g045800","Sobic.003G426000"
"23806","Sb03g045860","Sobic.003G426600"
"23827","Sb03g046070","Sobic.003G428600"
"23828","Sb03g046080","Sobic.003G428700"
"23835","Sb03g046150","null"
"23842","Sb03g046210","Sobic.003G430400"
"23853","Sb03g046300","Sobic.003G431200"
"23859","Sb03g046337","Sobic.003G431600"
"23867","Sb03g046400","Sobic.003G432600"
"23868","Sb03g046410","Sobic.003G432700"
"23889","Sb03g046600","Sobic.003G435100"
"23912","Sb03g046780","Sobic.003G437100"
"23918","Sb03g046840","Sobic.003G437900"
"23925","Sb03g046890","Sobic.003G438700"
"23940","Sb03g047000","Sobic.003G440300"
"23967","Sb03g047230","null"
"23977","Sb03g047330","Sobic.003G443600"
"23978","Sb03g047340","Sobic.003G443700"
"24005","Sb02g000210","Sobic.002G000300"
"24006","Sb02g000220","Sobic.002G000400"
"24007","Sb02g000230","Sobic.002G000500"
"24054","Sb02g000670","Sobic.002G005100"
"24084","Sb02g000930","Sobic.002G008300"
"24097","Sb02g001050","Sobic.002G009700"
"24109","Sb02g001140","Sobic.002G010700"
"24111","Sb02g001160","Sobic.002G010900"
"24128","Sb02g001280","null"
"24134","Sb02g001340","Sobic.002G012700"
"24137","Sb02g001370","Sobic.002G013000"
"24144","Sb02g001410","null"
"24153","Sb02g001460","Sobic.002G014500"
"24187","Sb02g001670","null"
"24226","Sb02g001970","Sobic.002G021300"
"24234","Sb02g002020","Sobic.002G021900"
"24253","Sb02g002150","Sobic.002G023300"
"24319","Sb02g002760","Sobic.002G031000"
"24329","Sb02g002830","Sobic.002G032700"
"24343","Sb02g002960","Sobic.002G033900"
"24348","Sb02g003010","Sobic.002G034500"
"24361","Sb02g003090","Sobic.002G035700"
"24365","Sb02g003130","Sobic.002G036100"
"24387","Sb02g003330","Sobic.002G038600"
"24400","Sb02g003436","Sobic.002G040100"
"24405","Sb02g003470","Sobic.002G040500"
"24410","Sb02g003510","Sobic.002G041000"
"24417","Sb02g003580","Sobic.002G041800"
"24419","Sb02g003600","Sobic.002G042000"
"24420","Sb02g003610","Sobic.002G042100"
"24466","Sb02g004000","Sobic.002G047400"
"24510","Sb02g004380","Sobic.002G052000"
"24524","Sb02g004470","Sobic.002G053200"
"24649","Sb02g005350","Sobic.002G064000"
"24653","Sb02g005380","Sobic.002G064500"
"24658","Sb02g005410","Sobic.002G064700"
"24667","Sb02g005500","Sobic.002G065700"
"24675","Sb02g005580","Sobic.002G066700"
"24678","Sb02g005600","Sobic.002G067000"
"24781","Sb02g006320","Sobic.002G075800"
"24857","Sb02g006920","Sobic.002G082800"
"24889","Sb02g007166","null"
"24906","Sb02g007280","Sobic.002G088200"
"24918","Sb02g007350","Sobic.002G088900"
"24919","Sb02g007360","Sobic.002G089100"
"24922","Sb02g007390","Sobic.002G089400"
"24957","Sb02g007650","Sobic.002G092500"
"24963","Sb02g007700","null"
"24967","Sb02g007730","Sobic.002G093500"
"24969","Sb02g007740","Sobic.002G093600"
"24970","Sb02g007750","Sobic.002G093700"
"24976","Sb02g007800","Sobic.002G094500"
"25000","Sb02g007965","Sobic.002G096800"
"25004","Sb02g007990","Sobic.002G097000"
"25017","Sb02g008065","null"
"25018","Sb02g008070","Sobic.002G097900"
"25032","Sb02g008130","Sobic.002G098900"
"25077","Sb02g008740","Sobic.002G102700"
"25098","Sb02g008900","Sobic.002G104600"
"25152","Sb02g009340","Sobic.002G109500"
"25191","Sb02g009660","Sobic.002G113100"
"25194","Sb02g009680","Sobic.002G113300"
"25199","Sb02g009720","Sobic.002G113700"
"25221","Sb02g009850","Sobic.002G115700"
"25224","Sb02g009870","Sobic.002G116000"
"25244","Sb02g010060","Sobic.002G117900"
"25245","Sb02g010065","null"
"25253","Sb02g010130","Sobic.002G118900"
"25307","Sb02g010730","Sobic.002G124500"
"25315","Sb02g010790","Sobic.002G125200"
"25348","Sb02g011050","Sobic.002G128400"
"25350","Sb02g011070","Sobic.002G128600"
"25354","Sb02g011100","Sobic.002G128700"
"25369","Sb02g011210","Sobic.002G130000"
"25382","Sb02g011340","Sobic.002G131800"
"25412","Sb02g011895","null"
"25426","Sb02g011990","null"
"25456","Sb02g012400","Sobic.002G137100"
"25503","Sb02g012910","Sobic.002G140300"
"25578","Sb02g015330","Sobic.002G146700"
"25703","Sb02g019490","Sobic.002G155900"
"25709","Sb02g019550","Sobic.002G156700"
"25724","Sb02g020030","Sobic.002G158300"
"25731","Sb02g020270","Sobic.002G158900"
"25751","Sb02g020430","Sobic.002G160600"
"25758","Sb02g020475","Sobic.002G161400"
"25859","Sb02g021490","Sobic.002G168800"
"25889","Sb02g022060","Sobic.002G171500"
"25917","Sb02g022230","Sobic.002G173500"
"25925","Sb02g022290","Sobic.002G174300"
"26044","Sb02g023210","Sobic.002G184200"
"26045","Sb02g023220","Sobic.002G184300"
"26049","Sb02g023250","Sobic.002G184500"
"26061","Sb02g023370","Sobic.002G185600"
"26090","Sb02g023630","Sobic.002G188700"
"26096","Sb02g023650","Sobic.002G189000"
"26112","Sb02g023770","Sobic.002G190300"
"26114","Sb02g023790","Sobic.002G190500"
"26159","Sb02g024170","Sobic.002G195000"
"26165","Sb02g024230","Sobic.002G195800"
"26229","Sb02g024760","Sobic.002G202700"
"26230","Sb02g024765","Sobic.002G202800"
"26276","Sb02g025150","Sobic.002G207000"
"26327","Sb02g025555","Sobic.002G212900"
"26345","Sb02g025675","Sobic.002G214300"
"26366","Sb02g025870","null"
"26392","Sb02g026070","Sobic.002G219200"
"26403","Sb02g026160","Sobic.002G220500"
"26452","Sb02g026530","Sobic.002G224500"
"26459","Sb02g026600","Sobic.002G225400"
"26461","Sb02g026620","null"
"26463","Sb02g026630","Sobic.002G225700"
"26471","Sb02g026680","Sobic.002G226400"
"26526","Sb02g027090","Sobic.002G231800"
"26541","Sb02g027250","Sobic.002G233300"
"26552","Sb02g027350","Sobic.002G234400"
"26582","Sb02g027570","Sobic.002G237900"
"26620","Sb02g027900","Sobic.002G242000"
"26630","Sb02g028000","Sobic.002G243000"
"26644","Sb02g028130","Sobic.002G244400"
"26653","Sb02g028200","Sobic.002G245300"
"26654","Sb02g028210","Sobic.002G245400"
"26673","Sb02g028370","Sobic.002G247200"
"26674","Sb02g028380","Sobic.002G247300"
"26692","Sb02g028540","Sobic.002G249500"
"26707","Sb02g028680","Sobic.002G251000"
"26731","Sb02g028900","Sobic.002G253400"
"26738","Sb02g028950","null"
"26773","Sb02g029220","Sobic.002G257100"
"26817","Sb02g029570","Sobic.002G261000"
"26818","Sb02g029580","Sobic.002G261100"
"26819","Sb02g029590","Sobic.002G261200"
"26858","Sb02g029940","Sobic.002G264800"
"26869","Sb02g030020","Sobic.002G265400"
"26874","Sb02g030060","Sobic.002G265900"
"26883","Sb02g030120","Sobic.002G267100"
"26902","Sb02g030300","Sobic.002G269000"
"26903","Sb02g030310","Sobic.002G269100"
"26904","Sb02g030320","Sobic.002G269300"
"26905","Sb02g030330","Sobic.002G269400"
"26906","Sb02g030340","Sobic.002G269500"
"26920","Sb02g030480","Sobic.002G271000"
"26922","Sb02g030500","Sobic.002G271200"
"26945","Sb02g030720","Sobic.002G273600"
"26946","Sb02g030730","Sobic.002G273700"
"26947","Sb02g030740","Sobic.002G273800"
"26964","Sb02g030880","Sobic.002G275200"
"26995","Sb02g031150","Sobic.002G278600"
"26996","Sb02g031160","Sobic.002G278700"
"26997","Sb02g031170","Sobic.002G278800"
"27019","Sb02g031390","Sobic.002G281000"
"27055","Sb02g031720","Sobic.002G284900"
"27061","Sb02g031770","Sobic.002G285300"
"27071","Sb02g031870","Sobic.002G286400"
"27078","Sb02g031940","Sobic.002G287000"
"27079","Sb02g031950","Sobic.002G287100"
"27098","Sb02g032080","Sobic.002G288900"
"27099","Sb02g032085","Sobic.002G289000"
"27130","Sb02g032300","Sobic.002G291700"
"27136","Sb02g032360","Sobic.002G292500"
"27159","Sb02g032580","Sobic.002G294500"
"27201","Sb02g032940","Sobic.002G298800"
"27218","Sb02g033080","Sobic.002G300100"
"27238","Sb02g033250","Sobic.002G302100"
"27254","Sb02g033400","Sobic.002G303700"
"27285","Sb02g033700","Sobic.002G306800"
"27325","Sb02g034050","Sobic.002G310800"
"27326","Sb02g034060","Sobic.002G310900"
"27329","Sb02g034090","Sobic.002G311200"
"27330","Sb02g034100","Sobic.002G311300"
"27360","Sb02g034370","Sobic.002G314300"
"27397","Sb02g034690","Sobic.002G318000"
"27427","Sb02g034930","Sobic.002G321100"
"27428","Sb02g034940","Sobic.002G321200"
"27437","Sb02g035020","Sobic.002G322600"
"27446","Sb02g035110","Sobic.002G323600"
"27449","Sb02g035140","Sobic.002G323900"
"27450","Sb02g035150","Sobic.002G324000"
"27455","Sb02g035200","Sobic.002G324500"
"27469","Sb02g035320","Sobic.002G326100"
"27482","Sb02g035440","Sobic.002G327700"
"27483","Sb02g035450","Sobic.002G327800"
"27492","Sb02g035530","Sobic.002G328800"
"27493","Sb02g035540","Sobic.002G328900"
"27494","Sb02g035550","Sobic.002G329000"
"27498","Sb02g035590","Sobic.002G329400"
"27512","Sb02g035720","Sobic.002G330700"
"27536","Sb02g035920","Sobic.002G333300"
"27537","Sb02g035930","Sobic.002G333400"
"27542","Sb02g035980","Sobic.002G333900"
"27545","Sb02g036010","Sobic.002G334200"
"27549","Sb02g036030","Sobic.002G334500"
"27554","Sb02g036060","Sobic.002G335100"
"27557","Sb02g036090","Sobic.002G335400"
"27584","Sb02g036310","Sobic.002G338500"
"27587","Sb02g036340","Sobic.002G338800"
"27620","Sb02g036605","Sobic.002G341900"
"27625","Sb02g036650","Sobic.002G342400"
"27651","Sb02g036836","Sobic.002G345200"
"27690","Sb02g037210","Sobic.002G349900"
"27700","Sb02g037310","Sobic.002G351000"
"27703","Sb02g037340","Sobic.002G351300"
"27705","Sb02g037350","Sobic.002G351400"
"27742","Sb02g037680","Sobic.002G355200"
"27754","Sb02g037790","Sobic.002G356500"
"27793","Sb02g038130","Sobic.002G361100"
"27794","Sb02g038140","Sobic.002G361200"
"27845","Sb02g038520","Sobic.002G366100"
"27875","Sb02g038780","Sobic.002G368700"
"27876","Sb02g038790","Sobic.002G368800"
"27878","Sb02g038810","Sobic.002G369000"
"27882","Sb02g038850","Sobic.002G369500"
"27892","Sb02g038940","Sobic.002G370600"
"27904","Sb02g039045","Sobic.002G371800"
"27905","Sb02g039050","Sobic.002G371900"
"27927","Sb02g039220","Sobic.002G374500"
"27947","Sb02g039400","Sobic.002G376400"
"27993","Sb02g039770","Sobic.002G381200"
"28010","Sb02g039910","null"
"28028","Sb02g040060","Sobic.002G384400"
"28043","Sb02g040190","Sobic.002G385700"
"28059","Sb02g040350","Sobic.002G387200"
"28074","Sb02g040490","Sobic.002G388800"
"28075","Sb02g040500","Sobic.002G388900"
"28076","Sb02g040510","Sobic.002G389000"
"28102","Sb02g040740","Sobic.002G392000"
"28121","Sb02g040920","Sobic.002G393900"
"28167","Sb02g041290","Sobic.002G398200"
"28169","Sb02g041310","Sobic.002G398400"
"28210","Sb02g041680","Sobic.002G401900"
"28222","Sb02g041790","Sobic.002G403300"
"28226","Sb02g041820","Sobic.002G403600"
"28232","Sb02g041880","Sobic.002G404400"
"28233","Sb02g041890","Sobic.002G404500"
"28260","Sb02g042115","Sobic.002G407200"
"28325","Sb02g042680","Sobic.002G414400"
"28339","Sb02g042790","Sobic.002G416100"
"28345","Sb02g042840","Sobic.002G416500"
"28352","Sb02g042890","null"
"28370","Sb02g043060","Sobic.002G418900"
"28386","Sb02g043210","Sobic.002G420700"
"28389","Sb02g043230","Sobic.002G420900"
"28394","Sb02g043260","Sobic.002G421300"
"28416","Sb02g043450","Sobic.002G423600"
"28449","Sb02g043720","Sobic.002G426700"
"28537","Sb01g000500","Sobic.001G004500"
"28581","Sb01g000860","Sobic.001G008600"
"28614","Sb01g001160","Sobic.001G012000"
"28634","Sb01g001350","Sobic.001G013800"
"28653","Sb01g001530","Sobic.001G015600"
"28657","Sb01g001565","null"
"28660","Sb01g001585","Sobic.001G016300"
"28672","Sb01g001690","Sobic.001G017400"
"28681","Sb01g001780","Sobic.001G018300"
"28691","Sb01g001860","Sobic.001G019100"
"28695","Sb01g001893","Sobic.001G019500"
"28743","Sb01g002330","Sobic.001G024400"
"28746","Sb01g002350","Sobic.001G024600"
"28755","Sb01g002430","Sobic.001G025500"
"28771","Sb01g002590","Sobic.001G027300"
"28780","Sb01g002670","null"
"28785","Sb01g002720","Sobic.001G028800"
"28786","Sb01g002723","null"
"28794","Sb01g002780","Sobic.001G029600"
"28817","Sb01g003000","Sobic.001G032100"
"28848","Sb01g003270","Sobic.001G035000"
"28849","Sb01g003280","Sobic.001G035100"
"28928","Sb01g003960","Sobic.001G043000"
"28949","Sb01g004140","Sobic.001G044900"
"28960","Sb01g004240","Sobic.001G046000"
"28983","Sb01g004440","Sobic.001G048400"
"28989","Sb01g004500","Sobic.001G049000"
"29016","Sb01g004740","Sobic.001G051600"
"29069","Sb01g005140","Sobic.001G056400"
"29070","Sb01g005150","Sobic.001G056500"
"29081","Sb01g005240","Sobic.001G057600"
"29092","Sb01g005350","Sobic.001G058800"
"29099","Sb01g005400","Sobic.001G059400"
"29103","Sb01g005440","Sobic.001G059800"
"29135","Sb01g005720","Sobic.001G063000"
"29166","Sb01g006000","Sobic.001G065900"
"29190","Sb01g006210","Sobic.001G068600"
"29212","Sb01g006410","Sobic.001G071000"
"29235","Sb01g006610","Sobic.001G073300"
"29300","Sb01g007220","Sobic.001G080100"
"29341","Sb01g007590","null"
"29345","Sb01g007630","Sobic.001G084600"
"29346","Sb01g007640","Sobic.001G084700"
"29367","Sb01g007820","Sobic.001G086800"
"29372","Sb01g007860","null"
"29387","Sb01g007965","null"
"29427","Sb01g008350","Sobic.001G092600"
"29432","Sb01g008380","Sobic.001G093200"
"29455","Sb01g008570","Sobic.001G095700"
"29487","Sb01g008810","Sobic.001G098600"
"29504","Sb01g008960","Sobic.001G100200"
"29506","Sb01g008980","null"
"29507","Sb01g008990","Sobic.001G100600"
"29508","Sb01g009000","Sobic.001G100700"
"29513","Sb01g009040","Sobic.001G101200"
"29515","Sb01g009060","Sobic.001G101400"
"29547","Sb01g009340","Sobic.001G104600"
"29550","Sb01g009370","Sobic.001G104900"
"29573","Sb01g009540","Sobic.001G106800"
"29625","Sb01g009950","Sobic.001G111700"
"29639","Sb01g010050","Sobic.001G112900"
"29654","Sb01g010165","Sobic.001G115100"
"29665","Sb01g010270","Sobic.001G116400"
"29682","Sb01g010420","Sobic.001G118100"
"29744","Sb01g011000","Sobic.001G125100"
"29748","Sb01g011030","Sobic.001G125700"
"29786","Sb01g011370","Sobic.001G129700"
"29800","Sb01g011500","Sobic.001G131200"
"29844","Sb01g011890","Sobic.001G136300"
"29845","Sb01g011900","Sobic.001G136400"
"29859","Sb01g012020","Sobic.001G137600"
"29863","Sb01g012050","Sobic.001G138000"
"29864","Sb01g012060","Sobic.001G138200"
"29868","Sb01g012100","Sobic.001G138600"
"29894","Sb01g012320","Sobic.001G141600"
"29910","Sb01g012460","Sobic.001G143100"
"29923","Sb01g012580","Sobic.001G144300"
"29924","Sb01g012590","Sobic.001G144400"
"29935","Sb01g012700","Sobic.001G145600"
"29938","Sb01g012710","Sobic.001G145700"
"29946","Sb01g012780","Sobic.001G146400"
"29981","Sb01g013060","Sobic.001G150200"
"29993","Sb01g013150","Sobic.001G151400"
"30011","Sb01g013300","Sobic.001G153200"
"30041","Sb01g013610","Sobic.001G156200"
"30046","Sb01g013650","Sobic.001G156600"
"30055","Sb01g013740","Sobic.001G157700"
"30057","Sb01g013760","Sobic.001G157900"
"30060","Sb01g013790","Sobic.001G158200"
"30065","Sb01g013840","Sobic.001G158700"
"30074","Sb01g013910","Sobic.001G159600"
"30087","Sb01g014020","Sobic.001G160500"
"30112","Sb01g014230","Sobic.001G162700"
"30114","Sb01g014250","Sobic.001G162900"
"30116","Sb01g014270","null"
"30136","Sb01g014400","null"
"30152","Sb01g014550","null"
"30153","Sb01g014560","Sobic.001G166500"
"30184","Sb01g014840","Sobic.001G169700"
"30189","Sb01g014890","Sobic.001G170300"
"30242","Sb01g015330","Sobic.001G176300"
"30276","Sb01g015640","null"
"30277","Sb01g015650","Sobic.001G179700"
"30282","Sb01g015680","Sobic.001G180200"
"30289","Sb01g015750","Sobic.001G181000"
"30305","Sb01g015870","null"
"30321","Sb01g015990","Sobic.001G184000"
"30345","Sb01g016390","Sobic.001G186500"
"30347","Sb01g016396","null"
"30353","Sb01g016450","Sobic.001G187300"
"30372","Sb01g016580","Sobic.001G188800"
"30376","Sb01g016620","Sobic.001G189200"
"30409","Sb01g016900","Sobic.001G192100"
"30465","Sb01g017380","null"
"30473","Sb01g017440","Sobic.001G198000"
"30482","Sb01g017520","Sobic.001G198800"
"30497","Sb01g017650","Sobic.001G200000"
"30594","Sb01g018490","Sobic.001G209300"
"30609","Sb01g018600","Sobic.001G210300"
"30627","Sb01g018740","Sobic.001G212000"
"30645","Sb01g018880","Sobic.001G213900"
"30681","Sb01g019200","Sobic.001G218400"
"30758","Sb01g019830","null"
"30760","Sb01g019850","Sobic.001G226600"
"30776","Sb01g020000","Sobic.001G228100"
"30811","Sb01g020300","Sobic.001G231600"
"30817","Sb01g020350","Sobic.001G232200"
"30820","Sb01g020380","Sobic.001G232500"
"30842","Sb01g020530","Sobic.001G234300"
"30895","Sb01g021110","Sobic.001G238500"
"30897","Sb01g021130","Sobic.001G238800"
"30903","Sb01g021190","null"
"30904","Sb01g021200","Sobic.001G239600"
"30938","Sb01g021450","Sobic.001G242600"
"30964","Sb01g021660","Sobic.001G244400"
"30993","Sb01g021870","Sobic.001G247300"
"31000","Sb01g021920","Sobic.001G247900"
"31017","Sb01g022070","Sobic.001G249500"
"31018","Sb01g022080","Sobic.001G249600"
"31043","Sb01g022300","null"
"31071","Sb01g022490","Sobic.001G254600"
"31100","Sb01g023050","Sobic.001G256700"
"31106","Sb01g023100","Sobic.001G257200"
"31133","Sb01g023320","Sobic.001G259600"
"31134","Sb01g023330","Sobic.001G259700"
"31136","Sb01g023431","Sobic.001G259900"
"31196","Sb01g025580","Sobic.001G264000"
"31229","Sb01g026170","Sobic.001G266100"
"31244","Sb01g026270","Sobic.001G267600"
"31247","Sb01g026290","null"
"31262","Sb01g026400","Sobic.001G268900"
"31293","Sb01g026600","Sobic.001G270900"
"31304","Sb01g026660","Sobic.001G271500"
"31314","Sb01g026720","Sobic.001G272900"
"31315","Sb01g026730","Sobic.001G273000"
"31320","Sb01g026780","null"
"31360","Sb01g027250","Sobic.001G276100"
"31393","Sb01g027480","Sobic.001G279300"
"31404","Sb01g027540","Sobic.001G280000"
"31409","Sb01g027570","Sobic.001G280200"
"31414","Sb01g027620","Sobic.001G280800"
"31454","Sb01g027960","Sobic.001G284600"
"31481","Sb01g028190","Sobic.001G287100"
"31492","Sb01g028270","Sobic.001G288200"
"31563","Sb01g028880","Sobic.001G295700"
"31588","Sb01g029080","Sobic.001G298400"
"31605","Sb01g029210","Sobic.001G300200"
"31606","Sb01g029220","Sobic.001G300300"
"31612","Sb01g029270","Sobic.001G300800"
"31622","Sb01g029340","Sobic.001G301600"
"31632","Sb01g029410","Sobic.001G302300"
"31657","Sb01g029620","null"
"31661","Sb01g029660","Sobic.001G304700"
"31690","Sb01g029900","Sobic.001G306600"
"31696","Sb01g029950","null"
"31750","Sb01g030345","Sobic.001G311200"
"31784","Sb01g030640","Sobic.001G315200"
"31805","Sb01g030810","Sobic.001G317400"
"31831","Sb01g031030","Sobic.001G319500"
"31832","Sb01g031040","Sobic.001G319600"
"31850","Sb01g031210","Sobic.001G321800"
"31854","Sb01g031250","Sobic.001G322200"
"31868","Sb01g031370","null"
"31877","Sb01g031460","null"
"31886","Sb01g031540","Sobic.001G325400"
"31924","Sb01g031850","Sobic.001G329400"
"31928","Sb01g031890","Sobic.001G330100"
"31929","Sb01g031900","Sobic.001G330200"
"31931","Sb01g031920","Sobic.001G330400"
"31948","Sb01g032040","Sobic.001G331500"
"31961","Sb01g032150","Sobic.001G332900"
"31976","Sb01g032300","null"
"32006","Sb01g032580","Sobic.001G338600"
"32007","Sb01g032590","Sobic.001G338700"
"32011","Sb01g032610","Sobic.001G339000"
"32013","Sb01g032630","Sobic.001G339200"
"32014","Sb01g032640","Sobic.001G339300"
"32048","Sb01g032920","null"
"32053","Sb01g032970","Sobic.001G343400"
"32055","Sb01g032990","null"
"32057","Sb01g033010","null"
"32061","Sb01g033040","Sobic.001G344300"
"32066","Sb01g033070","Sobic.001G344600"
"32074","Sb01g033150","Sobic.001G345400"
"32123","Sb01g033510","Sobic.001G350100"
"32135","Sb01g033620","Sobic.001G351400"
"32160","Sb01g033855","null"
"32174","Sb01g033970","Sobic.001G355300"
"32175","Sb01g033980","Sobic.001G355400"
"32197","Sb01g034190","Sobic.001G357900"
"32210","Sb01g034310","null"
"32211","Sb01g034320","null"
"32229","Sb01g034490","Sobic.001G361000"
"32242","Sb01g034610","Sobic.001G362500"
"32251","Sb01g034700","Sobic.001G363400"
"32254","Sb01g034710","Sobic.001G363700"
"32255","Sb01g034720","Sobic.001G364100"
"32268","Sb01g034830","null"
"32292","Sb01g035010","Sobic.001G367600"
"32296","Sb01g035040","Sobic.001G367900"
"32345","Sb01g035460","Sobic.001G373300"
"32359","Sb01g035570","Sobic.001G374600"
"32374","Sb01g035710","Sobic.001G376100"
"32424","Sb01g036180","Sobic.001G381300"
"32429","Sb01g036205","Sobic.001G381700"
"32433","Sb01g036240","Sobic.001G382100"
"32451","Sb01g036380","Sobic.001G383700"
"32472","Sb01g036560","Sobic.001G385800"
"32483","Sb01g036670","Sobic.001G386600"
"32486","Sb01g036700","Sobic.001G387000"
"32530","Sb01g037090","Sobic.001G391300"
"32555","Sb01g037290","Sobic.001G393600"
"32575","Sb01g037480","Sobic.001G395900"
"32586","Sb01g037560","Sobic.001G396900"
"32606","Sb01g037730","Sobic.001G398500"
"32619","Sb01g037850","Sobic.001G399900"
"32623","Sb01g037890","Sobic.001G400300"
"32626","Sb01g037920","null"
"32629","Sb01g037940","Sobic.001G400900"
"32638","Sb01g038020","Sobic.001G401800"
"32682","Sb01g038410","Sobic.001G406300"
"32695","Sb01g038520","Sobic.001G407800"
"32708","Sb01g038650","Sobic.001G409200"
"32710","Sb01g038670","Sobic.001G409400"
"32715","Sb01g038720","null"
"32794","Sb01g039360","Sobic.001G418200"
"32797","Sb01g039390","Sobic.001G418600"
"32868","Sb01g039990","Sobic.001G425500"
"32869","Sb01g040000","Sobic.001G425600"
"32873","Sb01g040030","Sobic.001G426000"
"32877","Sb01g040070","Sobic.001G426400"
"32880","Sb01g040100","Sobic.001G426800"
"32945","Sb01g040690","Sobic.001G432500"
"32946","Sb01g040700","Sobic.001G432600"
"32947","Sb01g040710","Sobic.001G432700"
"32948","Sb01g040720","Sobic.001G432800"
"32958","Sb01g040820","Sobic.001G434000"
"32967","Sb01g040910","Sobic.001G434800"
"32996","Sb01g041170","null"
"32997","Sb01g041180","Sobic.001G438000"
"33041","Sb01g041570","Sobic.001G442300"
"33078","Sb01g041920","Sobic.001G446100"
"33101","Sb01g042120","Sobic.001G448300"
"33105","Sb01g042160","Sobic.001G448500"
"33111","Sb01g042210","Sobic.001G449100"
"33123","Sb01g042330","null"
"33250","Sb01g043470","Sobic.001G463200"
"33256","Sb01g043530","Sobic.001G463900"
"33275","Sb01g043720","Sobic.001G466000"
"33297","Sb01g043910","Sobic.001G468400"
"33311","Sb01g044050","Sobic.001G470000"
"33335","Sb01g044290","Sobic.001G472800"
"33348","Sb01g044410","Sobic.001G473900"
"33392","Sb01g044810","Sobic.001G478400"
"33409","Sb01g044960","Sobic.001G480400"
"33419","Sb01g045030","Sobic.001G481100"
"33421","Sb01g045050","Sobic.001G481300"
"33433","Sb01g045170","null"
"33434","Sb01g045180","Sobic.001G482700"
"33435","Sb01g045190","Sobic.001G482800"
"33459","Sb01g045410","Sobic.001G485100"
"33460","Sb01g045420","Sobic.001G485200"
"33465","Sb01g045470","Sobic.001G485700"
"33480","Sb01g045620","Sobic.001G487600"
"33486","Sb01g045660","Sobic.001G488000"
"33495","Sb01g045750","Sobic.001G489000"
"33503","Sb01g045800","Sobic.001G489500"
"33547","Sb01g046120","Sobic.001G493500"
"33574","Sb01g046350","Sobic.001G496200"
"33614","Sb01g046670","Sobic.001G499600"
"33615","Sb01g046680","null"
"33620","Sb01g046730","Sobic.001G500200"
"33625","Sb01g046780","Sobic.001G500700"
"33681","Sb01g047250","Sobic.001G506100"
"33712","Sb01g047490","Sobic.001G508700"
"33750","Sb01g047780","Sobic.001G512100"
"33784","Sb01g048095","null"
"33785","Sb01g048100","Sobic.001G515500"
"33789","Sb01g048140","Sobic.001G516000"
"33804","Sb01g048280","Sobic.001G517700"
"33822","Sb01g048460","Sobic.001G519700"
"33823","Sb01g048470","Sobic.001G519800"
"33826","Sb01g048500","Sobic.001G520100"
"33833","Sb01g048565","null"
"33872","Sb01g048900","Sobic.001G525300"
"33888","Sb01g049030","Sobic.001G526900"
"33959","Sb01g049710","Sobic.001G533900"
"33971","Sb01g049800","Sobic.001G535200"
"33986","Sb01g049940","Sobic.001G536600"
"34002","Sb01g050080","Sobic.001G538100"
"34038","Sb01g050340","null"
"34082","Sb3247s002010","Sobic.K030000"
"34085","Sb3219s002010","Sobic.K029900"
"34110","Sb2432s002010","null"
