,,SB,GI
17907,Sb04g033710,Sb04g033710,Sobic.004G304000
17920,Sb04g033740,Sb04g033740,Sobic.004G304300
17923,Sb04g033820,Sb04g033820,Sobic.004G305000
17948,Sb04g034136,Sb04g034136,null
17952,Sb04g034140,Sb04g034140,Sobic.004G309000
17986,Sb04g034160,Sb04g034160,Sobic.004G309300
18008,Sb04g034200,Sb04g034200,Sobic.004G309700
18016,Sb04g034240,Sb04g034240,Sobic.004G310100
18034,Sb04g034520,Sb04g034520,Sobic.004G313100
18040,Sb04g034680,Sb04g034680,Sobic.004G315100
18051,Sb04g034690,Sb04g034690,Sobic.004G315200
18064,Sb04g034720,Sb04g034720,Sobic.004G315600
18067,Sb04g035030,Sb04g035030,null
18102,Sb04g035120,Sb04g035120,Sobic.004G320800
18119,Sb04g035130,Sb04g035130,Sobic.004G321000
18123,Sb04g035390,Sb04g035390,Sobic.004G323800
18133,Sb04g035440,Sb04g035440,Sobic.004G324300
18138,Sb04g035465,Sb04g035465,Sobic.004G324800
18154,Sb04g035930,Sb04g035930,Sobic.004G330400
18169,Sb04g036150,Sb04g036150,Sobic.004G332800
18173,Sb04g036250,Sb04g036250,Sobic.004G334100
18266,Sb04g036600,Sb04g036600,Sobic.004G338200
18268,Sb04g036780,Sb04g036780,Sobic.004G340300
18270,Sb04g036850,Sb04g036850,Sobic.004G341000
18272,Sb04g037140,Sb04g037140,Sobic.004G344200
18312,Sb04g037180,Sb04g037180,Sobic.004G344600
18320,Sb04g037290,Sb04g037290,Sobic.004G345900
18335,Sb04g037820,Sb04g037820,Sobic.004G351400
18350,Sb04g038040,Sb04g038040,Sobic.004G353700
18366,Sb04g038290,Sb04g038290,Sobic.004G356400
18384,Sb05g000310,Sb05g000310,Sobic.005G001500
18390,Sb05g000390,Sb05g000390,Sobic.005G002700
18463,Sb05g000600,Sb05g000600,Sobic.005G005100
18485,Sb05g000900,Sb05g000900,Sobic.005G009600
18557,Sb05g001035,Sb05g001035,Sobic.005G011600
18630,Sb05g001100,Sb05g001100,Sobic.005G012800
18634,Sb05g001170,Sb05g001170,Sobic.005G013500
18639,Sb05g001190,Sb05g001190,Sobic.005G013900
18641,Sb05g001200,Sb05g001200,Sobic.005G014000
18645,Sb05g001300,Sb05g001300,Sobic.005G015200
18650,Sb05g001380,Sb05g001380,Sobic.005G016400
18667,Sb05g001390,Sb05g001390,Sobic.005G016500
18668,Sb05g001430,Sb05g001430,Sobic.005G016800
18677,Sb05g001560,Sb05g001560,Sobic.005G018300
18704,Sb05g001745,Sb05g001745,Sobic.005G020400
18757,Sb05g001840,Sb05g001840,Sobic.005G021800
18773,Sb05g001910,Sb05g001910,Sobic.005G022600
18794,Sb05g001915,Sb05g001915,Sobic.005G022700
18823,Sb05g002470,Sb05g002470,Sobic.005G029400
18826,Sb05g002640,Sb05g002640,Sobic.005G031100
18829,Sb05g002710,Sb05g002710,Sobic.005G032200
18867,Sb05g002840,Sb05g002840,null
18868,Sb05g003100,Sb05g003100,Sobic.005G037000
18871,Sb05g003130,Sb05g003130,Sobic.005G037300
18879,Sb05g003190,Sb05g003190,Sobic.005G038300
18915,Sb05g003300,Sb05g003300,Sobic.005G039600
18916,Sb05g003400,Sb05g003400,Sobic.005G041000
18919,Sb05g003780,Sb05g003780,Sobic.005G045600
18923,Sb05g003920,Sb05g003920,Sobic.005G047700
18927,Sb05g003930,Sb05g003930,Sobic.005G047800
18961,Sb05g003946,Sb05g003946,Sobic.005G048200
18980,Sb05g003950,Sb05g003950,Sobic.005G048400
18981,Sb05g004170,Sb05g004170,Sobic.005G051200
18985,Sb05g004210,Sb05g004210,null
19024,Sb05g004530,Sb05g004530,Sobic.005G055300
19034,Sb05g004540,Sb05g004540,Sobic.005G055400
19035,Sb05g004560,Sb05g004560,Sobic.005G055900
19062,Sb05g004660,Sb05g004660,Sobic.005G057700
19069,Sb05g004900,Sb05g004900,Sobic.005G060200
19073,Sb05g004910,Sb05g004910,Sobic.005G060300
19128,Sb05g005480,Sb05g005480,Sobic.005G064900
19151,Sb05g005490,Sb05g005490,Sobic.005G065000
19162,Sb05g005856,Sb05g005856,Sobic.005G070900
19206,Sb05g005980,Sb05g005980,Sobic.005G072300
19225,Sb05g006190,Sb05g006190,Sobic.005G075800
19232,Sb05g006450,Sb05g006450,Sobic.005G079100
19264,Sb05g006550,Sb05g006550,null
19268,Sb05g006850,Sb05g006850,null
19280,Sb05g006880,Sb05g006880,Sobic.005G084300
19339,Sb05g007030,Sb05g007030,Sobic.005G086400
19362,Sb05g007043,Sb05g007043,Sobic.005G086600
19389,Sb05g007310,Sb05g007310,Sobic.005G089600
19441,Sb05g007770,Sb05g007770,Sobic.005G092200
19467,Sb05g008370,Sb05g008370,Sobic.005G096600
19505,Sb05g008470,Sb05g008470,Sobic.005G097800
19510,Sb05g008475,Sb05g008475,Sobic.005G097900
19522,Sb05g008570,Sb05g008570,Sobic.005G099500
19529,Sb05g008600,Sb05g008600,Sobic.005G099700
19531,Sb05g008750,Sb05g008750,Sobic.005G101300
19534,Sb05g008830,Sb05g008830,Sobic.005G101900
19550,Sb05g008910,Sb05g008910,Sobic.005G102300
19640,Sb05g009125,Sb05g009125,null
19643,Sb05g009130,Sb05g009130,null
19647,Sb05g009140,Sb05g009140,null
19657,Sb05g009350,Sb05g009350,Sobic.005G103300
19682,Sb05g010090,Sb05g010090,Sobic.005G107800
19698,Sb05g010328,Sb05g010328,null
19711,Sb05g010360,Sb05g010360,Sobic.005G109000
19746,Sb05g012960,Sb05g012960,Sobic.005G111200
19749,Sb05g013160,Sb05g013160,Sobic.005G111400
19767,Sb05g013840,Sb05g013840,Sobic.005G112400
19775,Sb05g016440,Sb05g016440,null
19793,Sb05g016880,Sb05g016880,Sobic.005G116600
19799,Sb05g017160,Sb05g017160,Sobic.005G118400
19825,Sb05g017980,Sb05g017980,Sobic.005G121800
19841,Sb05g018030,Sb05g018030,Sobic.005G122500
19859,Sb05g018520,Sb05g018520,Sobic.005G124600
19867,Sb05g018800,Sb05g018800,Sobic.005G126200
19891,Sb05g018890,Sb05g018890,Sobic.005G127000
19906,Sb05g018936,Sb05g018936,null
19909,Sb05g018970,Sb05g018970,Sobic.005G127800
19927,Sb05g019020,Sb05g019020,null
19930,Sb05g019030,Sb05g019030,null
19932,Sb05g019180,Sb05g019180,null
19944,Sb05g019190,Sb05g019190,null
19949,Sb05g019210,Sb05g019210,Sobic.005G130400
19973,Sb05g019490,Sb05g019490,Sobic.005G131300
19986,Sb05g019810,Sb05g019810,Sobic.005G134200
20061,Sb05g020200,Sb05g020200,Sobic.005G137000
20062,Sb05g020220,Sb05g020220,Sobic.005G137200
20064,Sb05g021030,Sb05g021030,Sobic.005G145300
20071,Sb05g021173,Sb05g021173,null
20097,Sb05g021330,Sb05g021330,null
20104,Sb05g021410,Sb05g021410,Sobic.005G149700
20108,Sb05g021412,Sb05g021412,null
20111,Sb05g021550,Sb05g021550,Sobic.005G151700
20134,Sb05g021680,Sb05g021680,Sobic.005G154000
20155,Sb05g021695,Sb05g021695,Sobic.005G154300
20163,Sb05g021700,Sb05g021700,null
20177,Sb05g021870,Sb05g021870,Sobic.005G156500
20178,Sb05g022050,Sb05g022050,Sobic.005G158000
20207,Sb05g022260,Sb05g022260,Sobic.005G160700
20221,Sb05g022280,Sb05g022280,Sobic.005G161100
20230,Sb05g022350,Sb05g022350,Sobic.005G162000
20231,Sb05g022370,Sb05g022370,Sobic.005G162300
20232,Sb05g022480,Sb05g022480,Sobic.005G163800
20233,Sb05g022570,Sb05g022570,Sobic.005G165100
20236,Sb05g022580,Sb05g022580,Sobic.005G165200
20242,Sb05g022660,Sb05g022660,Sobic.005G165900
20264,Sb05g022730,Sb05g022730,Sobic.005G166900
20268,Sb05g022790,Sb05g022790,Sobic.005G167500
20275,Sb05g022940,Sb05g022940,Sobic.005G169200
20287,Sb05g022950,Sb05g022950,Sobic.005G169300
20340,Sb05g022960,Sb05g022960,Sobic.005G169400
20344,Sb05g023110,Sb05g023110,Sobic.005G170900
20345,Sb05g023150,Sb05g023150,Sobic.005G171300
20371,Sb05g023220,Sb05g023220,Sobic.005G172400
20372,Sb05g023510,Sb05g023510,null
20382,Sb05g023710,Sb05g023710,Sobic.005G177600
20383,Sb05g023870,Sb05g023870,Sobic.005G179400
20392,Sb05g023873,Sb05g023873,Sobic.005G179500
20394,Sb05g024100,Sb05g024100,Sobic.005G182500
20401,Sb05g024105,Sb05g024105,null
20408,Sb05g024126,Sb05g024126,Sobic.005G182800
20412,Sb05g024150,Sb05g024150,Sobic.005G183100
20438,Sb05g024180,Sb05g024180,Sobic.005G183300
20460,Sb05g024200,Sb05g024200,null
20464,Sb05g024210,Sb05g024210,Sobic.005G183500
20480,Sb05g024240,Sb05g024240,Sobic.005G183900
20482,Sb05g024440,Sb05g024440,Sobic.005G186500
20483,Sb05g024450,Sb05g024450,Sobic.005G186700
20491,Sb05g024460,Sb05g024460,Sobic.005G186800
20497,Sb05g024565,Sb05g024565,Sobic.005G188200
20529,Sb05g024750,Sb05g024750,Sobic.005G190900
20532,Sb05g024830,Sb05g024830,null
20574,Sb05g024900,Sb05g024900,Sobic.005G192300
20578,Sb05g024940,Sb05g024940,Sobic.005G192600
20585,Sb05g025080,Sb05g025080,Sobic.005G194100
20592,Sb05g025360,Sb05g025360,Sobic.005G196600
20627,Sb05g025560,Sb05g025560,Sobic.005G198400
20646,Sb05g025670,Sb05g025670,null
20685,Sb05g025770,Sb05g025770,Sobic.005G202000
20727,Sb05g025820,Sb05g025820,Sobic.005G202500
20733,Sb05g025910,Sb05g025910,Sobic.005G204000
20738,Sb05g026040,Sb05g026040,Sobic.005G205300
20759,Sb05g026070,Sb05g026070,Sobic.005G206000
20761,Sb05g026090,Sb05g026090,Sobic.005G206300
20824,Sb05g026136,Sb05g026136,null
20827,Sb05g026140,Sb05g026140,null
20845,Sb05g026175,Sb05g026175,Sobic.005G207800
20849,Sb05g026180,Sb05g026180,Sobic.005G208000
20852,Sb05g026185,Sb05g026185,Sobic.005G208100
20886,Sb05g026200,Sb05g026200,null
20895,Sb05g026276,Sb05g026276,null
20936,Sb05g026480,Sb05g026480,Sobic.005G212600
21016,Sb05g026490,Sb05g026490,Sobic.005G212700
21043,Sb05g026650,Sb05g026650,Sobic.005G215400
21168,Sb05g026670,Sb05g026670,Sobic.005G215500
21371,Sb05g026680,Sb05g026680,Sobic.005G215600
21379,Sb05g026690,Sb05g026690,Sobic.005G215700
21406,Sb05g026710,Sb05g026710,Sobic.005G216100
21432,Sb05g026810,Sb05g026810,Sobic.005G217000
21467,Sb05g026816,Sb05g026816,Sobic.005G217100
21485,Sb05g026820,Sb05g026820,Sobic.005G217200
21550,Sb05g026890,Sb05g026890,Sobic.005G217900
21582,Sb05g026990,Sb05g026990,Sobic.005G219000
21603,Sb05g027000,Sb05g027000,Sobic.005G219300
21605,Sb05g027150,Sb05g027150,Sobic.005G220900
21606,Sb05g027380,Sb05g027380,Sobic.005G224900
21619,Sb05g027400,Sb05g027400,Sobic.005G225200
21625,Sb05g027440,Sb05g027440,Sobic.005G226000
21633,Sb05g027450,Sb05g027450,Sobic.005G226100
21646,Sb05g027460,Sb05g027460,null
21662,Sb05g027783,Sb05g027783,Sobic.005G230200
21705,Sb05g027785,Sb05g027785,Sobic.005G230300
21803,Sb05g027880,Sb05g027880,Sobic.005G231600
21806,Sb06g000340,Sb06g000340,Sobic.006G001800
21829,Sb06g000656,Sb06g000656,Sobic.006G005500
21836,Sb06g000660,Sb06g000660,Sobic.006G005600
21856,Sb06g000780,Sb06g000780,Sobic.006G007100
21857,Sb06g000790,Sb06g000790,Sobic.006G007300
21858,Sb06g000810,Sb06g000810,Sobic.006G007800
21861,Sb06g000820,Sb06g000820,Sobic.006G007900
21863,Sb06g001030,Sb06g001030,Sobic.006G010200
21870,Sb06g001040,Sb06g001040,null
21882,Sb06g001175,Sb06g001175,null
21910,Sb06g001440,Sb06g001440,Sobic.006G014800
21912,Sb06g001450,Sb06g001450,Sobic.006G014900
21913,Sb06g001640,Sb06g001640,Sobic.006G017200
21914,Sb06g001645,Sb06g001645,Sobic.006G017400
21935,Sb06g001650,Sb06g001650,Sobic.006G017500
21989,Sb06g001690,Sb06g001690,Sobic.006G018100
21993,Sb06g001780,Sb06g001780,Sobic.006G019100
21995,Sb06g001820,Sb06g001820,null
22012,Sb06g001870,Sb06g001870,Sobic.006G020200
22028,Sb06g001890,Sb06g001890,Sobic.006G020300
22061,Sb06g001920,Sb06g001920,Sobic.006G020500
22074,Sb06g001930,Sb06g001930,null
22135,Sb06g001960,Sb06g001960,Sobic.006G021000
22157,Sb06g002090,Sb06g002090,Sobic.006G022400
22167,Sb06g002200,Sb06g002200,Sobic.006G024200
22199,Sb06g002500,Sb06g002500,null
22200,Sb06g002520,Sb06g002520,Sobic.006G026700
22203,Sb06g002560,Sb06g002560,Sobic.006G026900
22235,Sb06g002820,Sb06g002820,Sobic.006G027500
22247,Sb06g002870,Sb06g002870,Sobic.006G028000
22253,Sb06g002990,Sb06g002990,Sobic.006G028900
22254,Sb06g003180,Sb06g003180,Sobic.006G031100
22256,Sb06g003250,Sb06g003250,Sobic.006G031900
22257,Sb06g004060,Sb06g004060,Sobic.006G034200
22258,Sb06g004280,Sb06g004280,Sobic.006G034300
22262,Sb06g004290,Sb06g004290,Sobic.006G034400
22284,Sb06g005000,Sb06g005000,Sobic.006G036300
22289,Sb06g005420,Sb06g005420,null
22297,Sb06g008990,Sb06g008990,Sobic.006G041000
22339,Sb06g010870,Sb06g010870,Sobic.006G043800
22349,Sb06g011401,Sb06g011401,Sobic.006G045000
22362,Sb06g011760,Sb06g011760,Sobic.006G045500
22377,Sb06g011767,Sb06g011767,Sobic.006G045900
22404,Sb06g011770,Sb06g011770,null
22406,Sb06g011772,Sb06g011772,null
22439,Sb06g012980,Sb06g012980,null
22447,Sb06g013770,Sb06g013770,null
22476,Sb06g013820,Sb06g013820,Sobic.006G051300
22489,Sb06g014210,Sb06g014210,Sobic.006G053700
22627,Sb06g014250,Sb06g014250,Sobic.006G054200
22650,Sb06g014320,Sb06g014320,Sobic.006G054800
22679,Sb06g014330,Sb06g014330,Sobic.006G054900
22684,Sb06g014340,Sb06g014340,Sobic.006G055000
22713,Sb06g014400,Sb06g014400,Sobic.006G055600
22715,Sb06g014460,Sb06g014460,Sobic.006G056400
22716,Sb06g014550,Sb06g014550,Sobic.006G057300
22723,Sb06g014790,Sb06g014790,Sobic.006G059700
22728,Sb06g014840,Sb06g014840,Sobic.006G060200
22778,Sb06g014900,Sb06g014900,Sobic.006G060900
22780,Sb06g014950,Sb06g014950,Sobic.006G061700
22830,Sb06g015025,Sb06g015025,Sobic.006G062600
22902,Sb06g015080,Sb06g015080,Sobic.006G063200
22904,Sb06g015520,Sb06g015520,Sobic.006G068400
22952,Sb06g015590,Sb06g015590,Sobic.006G069200
22953,Sb06g015660,Sb06g015660,Sobic.006G070300
22954,Sb06g016010,Sb06g016010,null
22956,Sb06g016043,Sb06g016043,null
22957,Sb06g016280,Sb06g016280,Sobic.006G075400
22963,Sb06g016500,Sb06g016500,Sobic.006G078100
22970,Sb06g016770,Sb06g016770,Sobic.006G080800
23000,Sb06g016870,Sb06g016870,Sobic.006G082100
23020,Sb06g017330,Sb06g017330,Sobic.006G087500
23023,Sb06g017410,Sb06g017410,Sobic.006G088400
23061,Sb06g017417,Sb06g017417,null
23066,Sb06g017430,Sb06g017430,null
23075,Sb06g017800,Sb06g017800,Sobic.006G093100
23081,Sb06g017850,Sb06g017850,Sobic.006G093500
23082,Sb06g018040,Sb06g018040,Sobic.006G095600
23105,Sb06g018070,Sb06g018070,Sobic.006G095900
23116,Sb06g018240,Sb06g018240,Sobic.006G097800
23125,Sb06g018480,Sb06g018480,Sobic.006G101100
23144,Sb06g018490,Sb06g018490,Sobic.006G101200
23151,Sb06g018620,Sb06g018620,Sobic.006G102700
23183,Sb06g018650,Sb06g018650,Sobic.006G103000
23198,Sb06g018680,Sb06g018680,Sobic.006G103300
23200,Sb06g018698,Sb06g018698,null
23209,Sb06g019050,Sb06g019050,Sobic.006G107900
23222,Sb06g019530,Sb06g019530,Sobic.006G113900
23229,Sb06g019560,Sb06g019560,Sobic.006G114200
23234,Sb06g019740,Sb06g019740,null
23235,Sb06g020180,Sb06g020180,Sobic.006G121200
23255,Sb06g020210,Sb06g020210,Sobic.006G121500
23287,Sb06g020220,Sb06g020220,Sobic.006G121600
23288,Sb06g020240,Sb06g020240,Sobic.006G121800
23289,Sb06g020290,Sb06g020290,Sobic.006G122500
23298,Sb06g020420,Sb06g020420,Sobic.006G124000
23330,Sb06g020720,Sb06g020720,Sobic.006G127100
23400,Sb06g020740,Sb06g020740,Sobic.006G127300
23409,Sb06g021210,Sb06g021210,Sobic.006G132100
23420,Sb06g021220,Sb06g021220,Sobic.006G132200
23421,Sb06g021230,Sb06g021230,Sobic.006G132300
23457,Sb06g021240,Sb06g021240,Sobic.006G132400
23489,Sb06g021250,Sb06g021250,Sobic.006G132500
23496,Sb06g021260,Sb06g021260,Sobic.006G132700
23497,Sb06g021270,Sb06g021270,Sobic.006G132800
23509,Sb06g021280,Sb06g021280,Sobic.006G132900
23533,Sb06g021290,Sb06g021290,Sobic.006G133000
23534,Sb06g021480,Sb06g021480,Sobic.006G135100
23535,Sb06g021610,Sb06g021610,Sobic.006G136500
23536,Sb06g021860,Sb06g021860,Sobic.006G139300
23560,Sb06g021960,Sb06g021960,Sobic.006G140500
23562,Sb06g022420,Sb06g022420,null
23569,Sb06g022450,Sb06g022450,Sobic.006G145700
23589,Sb06g022710,Sb06g022710,Sobic.006G148500
23595,Sb06g022720,Sb06g022720,Sobic.006G148600
23602,Sb06g022870,Sb06g022870,Sobic.006G150700
23604,Sb06g022880,Sb06g022880,Sobic.006G150800
23605,Sb06g022930,Sb06g022930,Sobic.006G151500
23653,Sb06g022940,Sb06g022940,Sobic.006G151600
23685,Sb06g023550,Sb06g023550,Sobic.006G158500
23686,Sb06g023830,Sb06g023830,Sobic.006G161400
23695,Sb06g023860,Sb06g023860,Sobic.006G161800
23697,Sb06g024130,Sb06g024130,Sobic.006G165300
23718,Sb06g024135,Sb06g024135,null
23741,Sb06g024380,Sb06g024380,Sobic.006G168100
23757,Sb06g024390,Sb06g024390,Sobic.006G168200
23762,Sb06g024540,Sb06g024540,Sobic.006G170000
23765,Sb06g024770,Sb06g024770,Sobic.006G172500
23798,Sb06g024790,Sb06g024790,null
23800,Sb06g024830,Sb06g024830,Sobic.006G173000
23806,Sb06g024970,Sb06g024970,Sobic.006G174600
23827,Sb06g025010,Sb06g025010,Sobic.006G175100
23828,Sb06g025090,Sb06g025090,Sobic.006G176100
23835,Sb06g025250,Sb06g025250,Sobic.006G177800
23842,Sb06g025330,Sb06g025330,Sobic.006G178700
23853,Sb06g025870,Sb06g025870,Sobic.006G184400
23859,Sb06g025900,Sb06g025900,Sobic.006G184800
23867,Sb06g025936,Sb06g025936,null
23868,Sb06g026170,Sb06g026170,Sobic.006G188000
23889,Sb06g026350,Sb06g026350,Sobic.006G190100
23912,Sb06g026470,Sb06g026470,Sobic.006G191600
23918,Sb06g026500,Sb06g026500,Sobic.006G192100
23925,Sb06g027090,Sb06g027090,Sobic.006G198800
23940,Sb06g027725,Sb06g027725,Sobic.006G206200
23967,Sb06g027740,Sb06g027740,Sobic.006G206500
23977,Sb06g027790,Sb06g027790,Sobic.006G207000
23978,Sb06g027800,Sb06g027800,Sobic.006G207100
24005,Sb06g027900,Sb06g027900,Sobic.006G208100
24006,Sb06g027920,Sb06g027920,Sobic.006G208300
24007,Sb06g028090,Sb06g028090,Sobic.006G210300
24054,Sb06g028210,Sb06g028210,Sobic.006G211400
24084,Sb06g028630,Sb06g028630,Sobic.006G216300
24097,Sb06g028680,Sb06g028680,Sobic.006G216900
24109,Sb06g028750,Sb06g028750,Sobic.006G217800
24111,Sb06g028760,Sb06g028760,Sobic.006G217900
24128,Sb06g028800,Sb06g028800,Sobic.006G218300
24134,Sb06g028970,Sb06g028970,Sobic.006G220200
24137,Sb06g029100,Sb06g029100,Sobic.006G221500
24144,Sb06g029230,Sb06g029230,null
24153,Sb06g029250,Sb06g029250,null
24187,Sb06g029420,Sb06g029420,Sobic.006G225200
24226,Sb06g029550,Sb06g029550,Sobic.006G226800
24234,Sb06g029570,Sb06g029570,Sobic.006G227000
24253,Sb06g029780,Sb06g029780,Sobic.006G229900
24319,Sb06g029850,Sb06g029850,Sobic.006G230700
24329,Sb06g029880,Sb06g029880,Sobic.006G231100
24343,Sb06g030130,Sb06g030130,null
24348,Sb06g030215,Sb06g030215,null
24361,Sb06g030230,Sb06g030230,Sobic.006G235300
24365,Sb06g030440,Sb06g030440,Sobic.006G237600
24387,Sb06g030740,Sb06g030740,null
24400,Sb06g030750,Sb06g030750,Sobic.006G241400
24405,Sb06g030940,Sb06g030940,Sobic.006G243600
24410,Sb06g030980,Sb06g030980,Sobic.006G244000
24417,Sb06g031250,Sb06g031250,Sobic.006G247300
24419,Sb06g031353,Sb06g031353,null
24420,Sb06g031740,Sb06g031740,Sobic.006G252600
24466,Sb06g031790,Sb06g031790,Sobic.006G253900
24510,Sb06g031805,Sb06g031805,Sobic.006G254200
24524,Sb06g031910,Sb06g031910,Sobic.006G255400
24649,Sb06g031920,Sb06g031920,Sobic.006G255500
24653,Sb06g032790,Sb06g032790,Sobic.006G265400
24658,Sb06g033760,Sb06g033760,Sobic.006G276300
24667,Sb06g033850,Sb06g033850,Sobic.006G277600
24675,Sb06g033860,Sb06g033860,Sobic.006G277700
24678,Sb06g033940,Sb06g033940,Sobic.006G278600
24781,Sb06g034010,Sb06g034010,Sobic.006G279400
24857,Sb07g000280,Sb07g000280,Sobic.007G001100
24889,Sb07g000500,Sb07g000500,Sobic.007G003400
24906,Sb07g000510,Sb07g000510,Sobic.007G003500
24918,Sb07g000520,Sb07g000520,Sobic.007G003600
24919,Sb07g000720,Sb07g000720,Sobic.007G006300
24922,Sb07g001185,Sb07g001185,Sobic.007G012800
24957,Sb07g001310,Sb07g001310,Sobic.007G014600
24963,Sb07g002060,Sb07g002060,Sobic.007G023300
24967,Sb07g002260,Sb07g002260,Sobic.007G025800
24969,Sb07g002265,Sb07g002265,Sobic.007G025900
24970,Sb07g002380,Sb07g002380,null
24976,Sb07g002600,Sb07g002600,Sobic.007G029800
25000,Sb07g002840,Sb07g002840,Sobic.007G032900
25004,Sb07g002950,Sb07g002950,Sobic.007G034300
25017,Sb07g003040,Sb07g003040,Sobic.007G035500
25018,Sb07g003150,Sb07g003150,Sobic.007G036900
25032,Sb07g003180,Sb07g003180,Sobic.007G037600
25077,Sb07g003260,Sb07g003260,null
25098,Sb07g003270,Sb07g003270,Sobic.007G038500
25152,Sb07g003870,Sb07g003870,Sobic.007G047400
25191,Sb07g003920,Sb07g003920,Sobic.007G048200
25194,Sb07g004190,Sb07g004190,Sobic.007G051800
25199,Sb07g004480,Sb07g004480,Sobic.007G055600
25221,Sb07g004635,Sb07g004635,Sobic.007G057700
25224,Sb07g004660,Sb07g004660,null
25244,Sb07g004680,Sb07g004680,Sobic.007G058600
25245,Sb07g004690,Sb07g004690,Sobic.007G058800
25253,Sb07g004700,Sb07g004700,Sobic.007G058900
25307,Sb07g004720,Sb07g004720,Sobic.007G059200
25315,Sb07g004880,Sb07g004880,Sobic.007G060900
25348,Sb07g004920,Sb07g004920,Sobic.007G061600
25350,Sb07g005130,Sb07g005130,Sobic.007G064800
25354,Sb07g005210,Sb07g005210,Sobic.007G065600
25369,Sb07g005240,Sb07g005240,Sobic.007G065900
25382,Sb07g005350,Sb07g005350,Sobic.007G067600
25412,Sb07g005430,Sb07g005430,Sobic.007G068700
25426,Sb07g005480,Sb07g005480,Sobic.007G069500
25456,Sb07g005596,Sb07g005596,Sobic.007G070700
25503,Sb07g005660,Sb07g005660,Sobic.007G071500
25578,Sb07g005680,Sb07g005680,Sobic.007G071700
25703,Sb07g005710,Sb07g005710,null
25709,Sb07g005750,Sb07g005750,Sobic.007G072300
25724,Sb07g005780,Sb07g005780,Sobic.007G073100
25731,Sb07g005810,Sb07g005810,null
25751,Sb07g005820,Sb07g005820,Sobic.007G073400
25758,Sb07g005880,Sb07g005880,Sobic.007G074000
25859,Sb07g005970,Sb07g005970,Sobic.007G074800
25889,Sb07g006060,Sb07g006060,Sobic.007G075700
25917,Sb07g006090,Sb07g006090,Sobic.007G076000
25925,Sb07g006190,Sb07g006190,null
26044,Sb07g006195,Sb07g006195,Sobic.007G077100
26045,Sb07g006200,Sb07g006200,Sobic.007G077200
26049,Sb07g006210,Sb07g006210,Sobic.007G077300
26061,Sb07g006840,Sb07g006840,Sobic.007G083200
26090,Sb07g007640,Sb07g007640,Sobic.007G088000
26096,Sb07g007710,Sb07g007710,Sobic.007G088500
26112,Sb07g007720,Sb07g007720,Sobic.007G088600
26114,Sb07g008300,Sb07g008300,Sobic.007G091100
26159,Sb07g008850,Sb07g008850,null
26165,Sb07g009390,Sb07g009390,Sobic.007G094600
26229,Sb07g014860,Sb07g014860,Sobic.007G105500
26230,Sb07g014960,Sb07g014960,Sobic.007G106500
26276,Sb07g015030,Sb07g015030,Sobic.007G107000
26327,Sb07g015110,Sb07g015110,null
26345,Sb07g015581,Sb07g015581,null
26366,Sb07g019400,Sb07g019400,null
26392,Sb07g019930,Sb07g019930,Sobic.007G122500
26403,Sb07g020100,Sb07g020100,Sobic.007G124200
26452,Sb07g020180,Sb07g020180,Sobic.007G125100
26459,Sb07g020430,Sb07g020430,Sobic.007G128100
26461,Sb07g020500,Sb07g020500,null
26463,Sb07g020690,Sb07g020690,Sobic.007G131200
26471,Sb07g020750,Sb07g020750,Sobic.007G131700
26526,Sb07g021840,Sb07g021840,Sobic.007G143100
26541,Sb07g021860,Sb07g021860,null
26552,Sb07g021870,Sb07g021870,Sobic.007G143400
26582,Sb07g021915,Sb07g021915,Sobic.007G144100
26620,Sb07g021940,Sb07g021940,null
26630,Sb07g022040,Sb07g022040,Sobic.007G145600
26644,Sb07g022220,Sb07g022220,Sobic.007G148000
26653,Sb07g022340,Sb07g022340,Sobic.007G149300
26654,Sb07g022520,Sb07g022520,Sobic.007G151300
26673,Sb07g022650,Sb07g022650,Sobic.007G152600
26674,Sb07g022750,Sb07g022750,Sobic.007G153900
26692,Sb07g022860,Sb07g022860,Sobic.007G154800
26707,Sb07g023020,Sb07g023020,Sobic.007G156500
26731,Sb07g023030,Sb07g023030,Sobic.007G156700
26738,Sb07g023130,Sb07g023130,Sobic.007G157700
26773,Sb07g023140,Sb07g023140,Sobic.007G157800
26817,Sb07g023200,Sb07g023200,Sobic.007G158500
26818,Sb07g023210,Sb07g023210,Sobic.007G158600
26819,Sb07g023220,Sb07g023220,Sobic.007G158700
26858,Sb07g023470,Sb07g023470,Sobic.007G161500
26869,Sb07g023700,Sb07g023700,Sobic.007G163500
26874,Sb07g023750,Sb07g023750,Sobic.007G164200
26883,Sb07g023770,Sb07g023770,Sobic.007G164300
26902,Sb07g023790,Sb07g023790,Sobic.007G164500
26903,Sb07g023800,Sb07g023800,null
26904,Sb07g024090,Sb07g024090,Sobic.007G168000
26905,Sb07g024200,Sb07g024200,Sobic.007G169500
26906,Sb07g024280,Sb07g024280,Sobic.007G170700
26920,Sb07g024380,Sb07g024380,Sobic.007G171600
26922,Sb07g024510,Sb07g024510,Sobic.007G172800
26945,Sb07g024890,Sb07g024890,Sobic.007G177100
26946,Sb07g025900,Sb07g025900,Sobic.007G189300
26947,Sb07g026040,Sb07g026040,Sobic.007G191200
26964,Sb07g026330,Sb07g026330,Sobic.007G194800
26995,Sb07g026735,Sb07g026735,null
26996,Sb07g026870,Sb07g026870,Sobic.007G201100
